160.8, 1117, 1, FS, V
160.8, 1180, 1, IB, V
160.8, 1827, 2, RS, V
160.8, 1847, 2, RS, V
160.8, 2663, 3, FS, V
160.8, 3369, 4, RS, V
160.9, 428, 0, IB, V
160.9, 1138, 1, FS, V
160.9, 1141, 1, FS, V
160.9, 2678, 3, LTS, V
161, 1033, 1, RS, V
161, 1113, 1, RS, V
161, 2677, 3, LTS, V
161, 2698, 3, IB, V
161, 3346, 4, RS, V
161, 3426, 4, FS, V
161.1, 1048, 1, RS, V
161.1, 2584, 3, RS, V
161.2, 1045, 1, RS, V
161.2, 1116, 1, FS, V
161.2, 1137, 1, FS, V
161.2, 1845, 2, RS, V
161.2, 1883, 2, FS, V
161.2, 2689, 3, IB, V
161.2, 3379, 4, RS, V
161.3, 1185, 1, IB, V
161.3, 1884, 2, FS, V
161.3, 2638, 3, FS, V
161.3, 3458, 4, IB, V
161.4, 1891, 2, FS, V
161.4, 1944, 2, IB, V
161.5, 1055, 1, RS, V
161.5, 1131, 1, FS, V
161.5, 1176, 1, IB, V
161.5, 1178, 1, IB, V
161.5, 1833, 2, RS, V
161.5, 2653, 3, FS, V
161.6, 408, 0, IB, V
161.6, 1142, 1, FS, V
161.6, 1885, 2, FS, V
161.6, 2643, 3, FS, V
161.6, 2651, 3, FS, V
161.6, 2699, 3, IB, V
161.6, 3326, 4, RS, V
161.6, 3420, 4, FS, V
161.7, 1893, 2, FS, V
161.7, 3429, 4, FS, V
161.8, 1040, 1, RS, V
161.8, 1173, 1, IB, V
161.8, 1862, 2, RS, V
161.8, 1881, 2, FS, V
161.8, 1898, 2, FS, V
161.8, 1901, 2, FS, V
161.8, 2579, 3, RS, V
161.8, 3414, 4, FS, V
161.9, 1111, 1, RS, V
161.9, 1134, 1, FS, V
161.9, 1145, 1, FS, V
161.9, 1186, 1, IB, V
161.9, 1942, 2, IB, V
161.9, 1950, 2, IB, V
161.9, 2712, 3, IB, V
161.9, 3381, 4, RS, V
161.9, 3383, 4, RS, V
162, 1830, 2, RS, V
162, 1882, 2, FS, V
162, 1902, 2, FS, V
162, 3336, 4, RS, V
162, 3374, 4, RS, V
162, 3421, 4, FS, V
162, 3456, 4, IB, V
162.1, 314, 0, RS, V
162.1, 326, 0, RS, V
162.1, 1093, 1, RS, V
162.1, 2593, 3, RS, V
162.1, 2607, 3, RS, V
162.1, 2667, 3, FS, V
162.1, 3406, 4, FS, V
162.2, 323, 0, RS, V
162.2, 1825, 2, RS, V
162.3, 1059, 1, RS, V
162.3, 1130, 1, FS, V
162.3, 1817, 2, RS, V
162.3, 1821, 2, RS, V
162.3, 1900, 2, FS, V
162.3, 3402, 4, FS, V
162.3, 3411, 4, FS, V
162.3, 3423, 4, FS, V
162.4, 1800, 2, RS, V
162.4, 2568, 3, RS, V
162.4, 2624, 3, RS, V
162.4, 3331, 4, RS, V
162.5, 338, 0, RS, V
162.5, 1098, 1, RS, V
162.5, 1166, 1, IB, V
162.5, 3387, 4, RS, V
162.5, 3410, 4, FS, V
162.6, 1118, 1, FS, V
162.6, 1810, 2, RS, V
162.6, 1892, 2, FS, V
162.6, 1926, 2, IB, V
162.6, 3407, 4, FS, V
162.6, 3469, 4, IB, V
162.7, 1146, 1, FS, V
162.7, 1836, 2, RS, V
162.7, 1879, 2, FS, V
162.7, 1921, 2, LTS, V
162.7, 2660, 3, FS, V
162.7, 2661, 3, FS, V
162.7, 2687, 3, IB, V
162.7, 3380, 4, RS, V
162.7, 3401, 4, FS, V
162.7, 3409, 4, FS, V
162.8, 1122, 1, FS, V
162.8, 1143, 1, FS, V
162.8, 1861, 2, RS, V
162.8, 1931, 2, IB, V
162.8, 2649, 3, FS, V
162.8, 2657, 3, FS, V
162.8, 2714, 3, IB, V
162.8, 3376, 4, RS, V
162.9, 278, 0, RS, V
162.9, 370, 0, FS, V
162.9, 1121, 1, FS, V
162.9, 1136, 1, FS, V
162.9, 1867, 2, RS, V
162.9, 1899, 2, FS, V
162.9, 2623, 3, RS, V
162.9, 2641, 3, FS, V
162.9, 3466, 4, IB, V
162.9, 3473, 4, IB, V
163, 1092, 1, RS, V
163, 1924, 2, IB, V
163, 1937, 2, IB, V
163.1, 1074, 1, RS, V
163.1, 1114, 1, RS, V
163.1, 1831, 2, RS, V
163.1, 1863, 2, RS, V
163.1, 1877, 2, FS, V
163.1, 1941, 2, IB, V
163.1, 2642, 3, FS, V
163.1, 2644, 3, FS, V
163.1, 2652, 3, FS, V
163.2, 376, 0, FS, V
163.2, 1123, 1, FS, V
163.2, 1125, 1, FS, V
163.2, 1135, 1, FS, V
163.2, 1905, 2, FS, V
163.2, 2700, 3, IB, V
163.2, 3427, 4, FS, V
163.2, 3448, 4, IB, V
163.2, 3471, 4, IB, V
163.2, 3472, 4, IB, V
163.3, 1126, 1, FS, V
163.3, 1133, 1, FS, V
163.3, 2647, 3, FS, V
163.3, 2665, 3, FS, V
163.3, 3428, 4, FS, V
163.4, 1120, 1, FS, V
163.4, 1124, 1, FS, V
163.4, 1865, 2, RS, V
163.4, 1890, 2, FS, V
163.4, 2664, 3, FS, V
163.4, 2696, 3, IB, V
163.4, 2702, 3, IB, V
163.4, 3418, 4, FS, V
163.4, 3442, 4, LTS, V
163.5, 1144, 1, FS, V
163.5, 1164, 1, IB, V
163.5, 1888, 2, FS, V
163.5, 1895, 2, FS, V
163.5, 1953, 2, IB, V
163.5, 3412, 4, FS, V
163.6, 1801, 2, RS, V
163.6, 2603, 3, RS, V
163.6, 2640, 3, FS, V
163.6, 3405, 4, FS, V
163.6, 3422, 4, FS, V
163.7, 273, 0, RS, V
163.7, 385, 0, FS, V
163.7, 1061, 1, RS, V
163.7, 1110, 1, RS, V
163.7, 1139, 1, FS, V
163.7, 1140, 1, FS, V
163.7, 1889, 2, FS, V
163.7, 1897, 2, FS, V
163.7, 1906, 2, FS, V
163.8, 329, 0, RS, V
163.8, 357, 0, FS, V
163.8, 1141, 1, FS, V
163.8, 1903, 2, FS, V
163.8, 1943, 2, IB, V
163.8, 2684, 3, IB, V
163.8, 3328, 4, RS, V
163.8, 3348, 4, RS, V
163.9, 1094, 1, RS, V
163.9, 1104, 1, RS, V
163.9, 1117, 1, FS, V
163.9, 1127, 1, FS, V
163.9, 2621, 3, RS, V
163.9, 2639, 3, FS, V
163.9, 2650, 3, FS, V
164, 368, 0, FS, V
164, 406, 0, IB, V
164, 1050, 1, RS, V
164, 1069, 1, RS, V
164, 1907, 2, FS, V
164, 2606, 3, RS, V
164, 3404, 4, FS, V
164, 3416, 4, FS, V
164, 3417, 4, FS, V
164, 3419, 4, FS, V
164, 3446, 4, IB, V
164.1, 1112, 1, RS, V
164.1, 1132, 1, FS, V
164.1, 1148, 1, LTS, V
164.2, 1182, 1, IB, V
164.2, 1864, 2, RS, V
164.2, 3464, 4, IB, V
164.3, 1116, 1, FS, V
164.3, 1119, 1, FS, V
164.3, 1142, 1, FS, V
164.3, 1168, 1, IB, V
164.3, 1177, 1, IB, V
164.3, 2645, 3, FS, V
164.3, 2648, 3, FS, V
164.3, 2686, 3, IB, V
164.3, 3399, 4, FS, V
164.3, 3424, 4, FS, V
164.4, 378, 0, FS, V
164.4, 1097, 1, RS, V
164.4, 2592, 3, RS, V
164.4, 2656, 3, FS, V
164.4, 2658, 3, FS, V
164.4, 2659, 3, FS, V
164.4, 2710, 3, IB, V
164.4, 3408, 4, FS, V
164.5, 412, 0, IB, V
164.5, 1131, 1, FS, V
164.5, 2646, 3, FS, V
164.6, 306, 0, RS, V
164.6, 1896, 2, FS, V
164.6, 1904, 2, FS, V
164.6, 1935, 2, IB, V
164.6, 2653, 3, FS, V
164.6, 2692, 3, IB, V
164.6, 2707, 3, IB, V
164.7, 383, 0, FS, V
164.7, 422, 0, IB, V
164.7, 1062, 1, RS, V
164.7, 1128, 1, FS, V
164.7, 1804, 2, RS, V
164.7, 2654, 3, FS, V
164.7, 2676, 3, LTS, V
164.7, 3398, 4, RS, V
164.7, 3400, 4, FS, V
164.7, 3475, 4, IB, V
164.8, 322, 0, RS, V
164.8, 372, 0, FS, V
164.8, 1106, 1, RS, V
164.8, 1175, 1, IB, V
164.8, 1946, 2, IB, V
164.8, 3403, 4, FS, V
164.8, 3426, 4, FS, V
164.9, 1041, 1, RS, V
164.9, 1887, 2, FS, V
164.9, 2662, 3, FS, V
164.9, 2690, 3, IB, V
164.9, 3415, 4, FS, V
165, 379, 0, FS, V
165, 381, 0, FS, V
165, 1095, 1, RS, V
165, 1137, 1, FS, V
165, 1803, 2, RS, V
165, 1880, 2, FS, V
165, 1898, 2, FS, V
165, 1901, 2, FS, V
165, 1951, 2, IB, V
165, 2635, 3, RS, V
165, 2697, 3, IB, V
165, 3325, 4, RS, V
165, 3329, 4, RS, V
165, 3370, 4, RS, V
165.1, 1809, 2, RS, V
165.1, 2694, 3, IB, V
165.1, 3414, 4, FS, V
165.2, 1172, 1, IB, V
165.2, 1859, 2, RS, V
165.2, 1878, 2, FS, V
165.2, 1891, 2, FS, V
165.2, 1942, 2, IB, V
165.2, 1952, 2, IB, V
165.2, 2622, 3, RS, V
165.2, 2699, 3, IB, V
165.2, 3324, 4, RS, V
165.2, 3365, 4, RS, V
165.2, 3420, 4, FS, V
165.3, 365, 0, FS, V
165.3, 371, 0, FS, V
165.3, 1130, 1, FS, V
165.3, 1134, 1, FS, V
165.3, 1839, 2, RS, V
165.3, 1846, 2, RS, V
165.3, 1885, 2, FS, V
165.3, 1900, 2, FS, V
165.3, 1950, 2, IB, V
165.3, 3444, 4, IB, V
165.4, 1086, 1, RS, V
165.4, 1858, 2, RS, V
165.4, 1881, 2, FS, V
165.4, 2625, 3, RS, V
165.4, 2655, 3, FS, V
165.4, 3425, 4, FS, V
165.5, 358, 0, FS, V
165.5, 1145, 1, FS, V
165.5, 1179, 1, IB, V
165.5, 1798, 2, RS, V
165.5, 2561, 3, RS, V
165.5, 2567, 3, RS, V
165.5, 2637, 3, RS, V
165.5, 2667, 3, FS, V
165.5, 2674, 3, LTS, V
165.6, 1185, 1, IB, V
165.6, 1892, 2, FS, V
165.6, 1930, 2, IB, V
165.6, 2620, 3, RS, V
165.7, 366, 0, FS, V
165.7, 1166, 1, IB, V
165.7, 1869, 2, RS, V
165.7, 1925, 2, IB, V
165.7, 2638, 3, FS, V
165.7, 2649, 3, FS, V
165.7, 3353, 4, RS, V
165.7, 3390, 4, RS, V
