111.7, 2045, 2, FS, IV
111.7, 2048, 2, FS, IV
111.7, 2049, 2, FS, IV
111.7, 2056, 2, FS, IV
111.8, 519, 0, FS, IV
111.8, 526, 0, FS, IV
111.8, 536, 0, FS, IV
111.8, 1467, 1, RS, III
111.8, 2037, 2, FS, IV
111.8, 2039, 2, FS, IV
111.8, 2042, 2, FS, IV
111.9, 525, 0, FS, IV
111.9, 1285, 1, FS, IV
111.9, 2034, 2, FS, IV
111.9, 2047, 2, FS, IV
111.9, 2050, 2, FS, IV
111.9, 2053, 2, FS, IV
111.9, 2055, 2, FS, IV
111.9, 2058, 2, FS, IV
112, 1296, 1, FS, IV
112, 1497, 1, FS, III
112, 1502, 1, FS, III
112.1, 1469, 1, RS, III
112.1, 2051, 2, FS, IV
112.1, 2810, 3, FS, IV
112.1, 2813, 3, FS, IV
112.2, 1175, 1, IB, V
112.2, 1289, 1, FS, IV
112.2, 1337, 1, RS, III
112.2, 1473, 1, RS, III
112.2, 1478, 1, FS, III
112.3, 1273, 1, FS, IV
112.3, 1500, 1, FS, III
112.3, 2041, 2, FS, IV
112.3, 2044, 2, FS, IV
112.3, 2798, 3, FS, IV
112.4, 1494, 1, FS, III
112.4, 2057, 2, FS, IV
112.5, 1284, 1, FS, IV
112.5, 1390, 1, RS, III
112.5, 1491, 1, FS, III
112.6, 1283, 1, FS, IV
112.6, 1458, 1, RS, III
112.6, 1486, 1, FS, III
112.6, 1488, 1, FS, III
112.7, 1345, 1, RS, III
112.7, 1474, 1, FS, III
112.7, 2797, 3, FS, IV
112.8, 1054, 1, RS, V
112.8, 1114, 1, RS, V
112.8, 1476, 1, FS, III
112.8, 1484, 1, FS, III
112.8, 1503, 1, FS, III
112.8, 2803, 3, FS, IV
112.8, 2805, 3, FS, IV
112.9, 604, 0, RS, III
112.9, 1038, 1, RS, V
112.9, 1086, 1, RS, V
112.9, 1101, 1, RS, V
112.9, 1113, 1, RS, V
112.9, 1123, 1, RS, V
112.9, 1188, 1, IB, V
112.9, 1489, 1, FS, III
113, 1063, 1, RS, V
113, 1079, 1, RS, V
113, 1082, 1, RS, V
113, 1098, 1, RS, V
113, 1184, 1, IB, V
113, 1479, 1, FS, III
113, 1483, 1, FS, III
113, 2799, 3, FS, IV
113.1, 1080, 1, RS, V
113.1, 1180, 1, IB, V
113.2, 1037, 1, RS, V
113.2, 1060, 1, RS, V
113.2, 1061, 1, RS, V
113.2, 1062, 1, RS, V
113.2, 1075, 1, RS, V
113.2, 1112, 1, RS, V
113.2, 1121, 1, RS, V
113.2, 1177, 1, IB, V
113.2, 1178, 1, IB, V
113.2, 1480, 1, FS, III
113.2, 2272, 2, LTS, III
113.2, 2811, 3, FS, IV
113.2, 2814, 3, FS, IV
113.3, 723, 0, FS, III
113.3, 1056, 1, RS, V
113.3, 1059, 1, RS, V
113.3, 1081, 1, RS, V
113.3, 1088, 1, RS, V
113.3, 1182, 1, IB, V
113.3, 1187, 1, IB, V
113.3, 2248, 2, FS, III
113.3, 2260, 2, FS, III
113.4, 1036, 1, RS, V
113.4, 1183, 1, IB, V
113.4, 1303, 1, LTS, IV
113.4, 1481, 1, FS, III
113.5, 548, 0, RS, III
113.5, 549, 0, RS, III
113.5, 719, 0, FS, III
113.5, 1049, 1, RS, V
113.5, 1051, 1, RS, V
113.5, 1179, 1, IB, V
113.5, 1181, 1, IB, V
113.5, 1190, 1, IB, V
113.5, 1492, 1, FS, III
113.5, 1496, 1, FS, III
113.5, 1499, 1, FS, III
113.6, 726, 0, FS, III
113.6, 733, 0, FS, III
113.6, 1044, 1, RS, V
113.6, 1083, 1, RS, V
113.6, 1089, 1, RS, V
113.6, 1106, 1, RS, V
113.6, 1107, 1, RS, V
113.6, 1109, 1, RS, V
113.6, 1115, 1, RS, V
113.6, 1326, 1, RS, III
113.6, 1482, 1, FS, III
113.6, 2258, 2, FS, III
113.6, 2807, 3, FS, IV
113.7, 561, 0, RS, III
113.7, 736, 0, FS, III
113.7, 740, 0, FS, III
113.7, 741, 0, FS, III
113.7, 1043, 1, RS, V
113.7, 1046, 1, RS, V
113.7, 1053, 1, RS, V
113.7, 1055, 1, RS, V
113.7, 1087, 1, RS, V
113.7, 1099, 1, RS, V
113.7, 1176, 1, IB, V
113.7, 1191, 1, IB, V
113.7, 1501, 1, FS, III
113.7, 2245, 2, FS, III
113.7, 2255, 2, FS, III
113.8, 716, 0, FS, III
113.8, 737, 0, FS, III
113.8, 739, 0, FS, III
113.8, 1052, 1, RS, V
113.8, 1071, 1, RS, V
113.8, 1110, 1, RS, V
113.8, 1119, 1, RS, V
113.8, 1186, 1, IB, V
113.8, 1475, 1, FS, III
113.8, 1487, 1, FS, III
113.8, 2235, 2, FS, III
113.8, 2246, 2, FS, III
113.8, 2263, 2, FS, III
113.9, 558, 0, RS, III
113.9, 709, 0, RS, III
113.9, 713, 0, FS, III
113.9, 714, 0, FS, III
113.9, 728, 0, FS, III
113.9, 731, 0, FS, III
113.9, 1034, 1, RS, V
113.9, 1077, 1, RS, V
113.9, 1085, 1, RS, V
113.9, 1108, 1, RS, V
113.9, 1495, 1, FS, III
113.9, 2237, 2, FS, III
113.9, 2247, 2, FS, III
113.9, 2256, 2, FS, III
113.9, 2817, 3, FS, IV
114, 715, 0, FS, III
114, 732, 0, FS, III
114, 734, 0, FS, III
114, 743, 0, FS, III
114, 1057, 1, RS, V
114, 1094, 1, RS, V
114, 1096, 1, RS, V
114, 1111, 1, RS, V
114, 1185, 1, IB, V
114, 1300, 1, LTS, IV
114, 2241, 2, FS, III
114.1, 722, 0, FS, III
114.1, 729, 0, FS, III
114.1, 738, 0, FS, III
114.1, 1033, 1, RS, V
114.1, 1058, 1, RS, V
114.1, 1065, 1, RS, V
114.1, 1073, 1, RS, V
114.1, 1090, 1, RS, V
114.1, 1116, 1, RS, V
114.1, 1117, 1, RS, V
114.1, 2242, 2, FS, III
114.1, 2250, 2, FS, III
114.2, 724, 0, FS, III
114.2, 1040, 1, RS, V
114.2, 1041, 1, RS, V
114.2, 1047, 1, RS, V
114.2, 1050, 1, RS, V
114.2, 1067, 1, RS, V
114.2, 1072, 1, RS, V
114.2, 1078, 1, RS, V
114.2, 1091, 1, RS, V
114.2, 1095, 1, RS, V
114.2, 1102, 1, RS, V
114.2, 1118, 1, RS, V
114.2, 1174, 1, IB, V
114.2, 1192, 1, IB, V
114.2, 2257, 2, FS, III
114.2, 2262, 2, FS, III
114.2, 2804, 3, FS, IV
114.3, 718, 0, FS, III
114.3, 1042, 1, RS, V
114.3, 1064, 1, RS, V
114.3, 1076, 1, RS, V
114.3, 1092, 1, RS, V
114.3, 1103, 1, RS, V
114.3, 2238, 2, FS, III
114.3, 2244, 2, FS, III
114.3, 2254, 2, FS, III
114.3, 2264, 2, FS, III
114.3, 2265, 2, FS, III
114.4, 735, 0, FS, III
114.4, 1035, 1, RS, V
114.4, 1045, 1, RS, V
114.4, 1066, 1, RS, V
114.4, 1070, 1, RS, V
114.4, 1105, 1, RS, V
114.4, 1490, 1, FS, III
114.5, 727, 0, FS, III
114.5, 1097, 1, RS, V
114.5, 1104, 1, RS, V
114.5, 1173, 1, IB, V
114.5, 1189, 1, IB, V
114.6, 720, 0, FS, III
114.6, 1048, 1, RS, V
114.6, 1069, 1, RS, V
114.6, 1084, 1, RS, V
114.6, 1100, 1, RS, V
114.6, 2259, 2, FS, III
114.6, 3302, 4, LTS, VI
114.6, 3452, 4, LTS, V
114.7, 702, 0, RS, III
114.7, 725, 0, FS, III
114.7, 1074, 1, RS, V
114.7, 1120, 1, RS, V
114.7, 1498, 1, FS, III
114.7, 2236, 2, FS, III
114.7, 2261, 2, FS, III
114.7, 2819, 3, FS, IV
114.8, 673, 0, RS, III
114.8, 717, 0, FS, III
114.8, 1093, 1, RS, V
114.8, 2243, 2, FS, III
114.8, 2816, 3, FS, IV
114.9, 730, 0, FS, III
114.9, 1068, 1, RS, V
114.9, 1497, 1, FS, III
114.9, 1502, 1, FS, III
114.9, 1504, 1, FS, III
114.9, 2240, 2, FS, III
114.9, 2251, 2, FS, III
114.9, 2253, 2, FS, III
115, 721, 0, FS, III
115, 1122, 1, RS, V
115.1, 600, 0, RS, III
115.1, 609, 0, RS, III
115.1, 1477, 1, FS, III
115.2, 742, 0, FS, III
115.2, 1378, 1, RS, III
115.2, 1409, 1, RS, III
115.2, 1444, 1, RS, III
115.2, 1457, 1, RS, III
115.2, 1471, 1, RS, III
115.2, 2249, 2, FS, III
115.2, 2808, 3, FS, IV
115.2, 3002, 3, FS, III
115.2, 3020, 3, FS, III
115.3, 565, 0, RS, III
115.3, 1039, 1, RS, V
115.3, 1366, 1, RS, III
115.3, 1412, 1, RS, III
115.3, 1420, 1, RS, III
115.3, 1463, 1, RS, III
115.4, 1129, 1, FS, V
115.4, 1416, 1, RS, III
115.4, 1427, 1, RS, III
115.4, 1435, 1, RS, III
115.4, 1449, 1, RS, III
115.4, 2101, 2, RS, III
115.4, 2239, 2, FS, III
115.5, 1307, 1, RS, III
115.5, 1360, 1, RS, III
115.5, 1377, 1, RS, III
115.5, 1395, 1, RS, III
115.5, 1396, 1, RS, III
115.5, 1430, 1, RS, III
115.5, 1462, 1, RS, III
115.5, 1486, 1, FS, III
115.6, 636, 0, RS, III
115.6, 1175, 1, IB, V
115.6, 1383, 1, RS, III
115.6, 1421, 1, RS, III
115.6, 1454, 1, RS, III
115.6, 2252, 2, FS, III
115.7, 555, 0, RS, III
115.7, 1133, 1, FS, V
115.7, 1340, 1, RS, III
115.7, 1349, 1, RS, III
115.7, 1352, 1, RS, III
115.7, 1359, 1, RS, III
115.7, 1401, 1, RS, III
115.7, 1472, 1, RS, III
115.7, 1478, 1, FS, III
115.8, 1124, 1, FS, V
115.8, 1149, 1, FS, V
115.8, 1309, 1, RS, III
115.8, 1314, 1, RS, III
115.8, 1386, 1, RS, III
115.8, 1434, 1, RS, III
115.8, 1437, 1, RS, III
115.8, 1447, 1, RS, III
115.8, 1489, 1, FS, III
115.9, 1126, 1, FS, V
115.9, 1142, 1, FS, V
115.9, 1145, 1, FS, V
115.9, 1362, 1, RS, III
115.9, 1368, 1, RS, III
115.9, 1369, 1, RS, III
