110.4, 1362, 1, RS, III
110.4, 1378, 1, RS, III
110.4, 1408, 1, RS, III
110.4, 1474, 1, FS, III
110.4, 1509, 1, FS, III
110.5, 1308, 1, RS, III
110.5, 1347, 1, RS, III
110.5, 1375, 1, RS, III
110.5, 1394, 1, RS, III
110.5, 1397, 1, RS, III
110.5, 1412, 1, RS, III
110.5, 1462, 1, RS, III
110.5, 1464, 1, RS, III
110.6, 517, 0, RS, IV
110.6, 1348, 1, RS, III
110.6, 1349, 1, RS, III
110.6, 1402, 1, RS, III
110.6, 1466, 1, RS, III
110.6, 1511, 1, FS, III
110.7, 1280, 1, FS, IV
110.7, 1345, 1, RS, III
110.7, 1356, 1, RS, III
110.7, 1401, 1, RS, III
110.7, 1441, 1, RS, III
110.7, 1450, 1, RS, III
110.7, 1453, 1, RS, III
110.7, 1491, 1, FS, III
110.8, 1371, 1, RS, III
110.8, 1422, 1, RS, III
110.8, 1488, 1, FS, III
110.8, 1503, 1, FS, III
110.9, 1290, 1, FS, IV
110.9, 1357, 1, RS, III
110.9, 1398, 1, RS, III
110.9, 1510, 1, FS, III
110.9, 2051, 2, FS, IV
111, 1305, 1, LTS, IV
111, 1433, 1, RS, III
111, 1437, 1, RS, III
111, 2044, 2, FS, IV
111, 2048, 2, FS, IV
111.1, 524, 0, FS, IV
111.1, 1359, 1, RS, III
111.1, 1404, 1, RS, III
111.2, 518, 0, FS, IV
111.2, 521, 0, FS, IV
111.2, 1279, 1, FS, IV
111.2, 1286, 1, FS, IV
111.2, 1354, 1, RS, III
111.2, 1382, 1, RS, III
111.2, 2047, 2, FS, IV
111.3, 472, 0, RS, IV
111.3, 520, 0, FS, IV
111.3, 526, 0, FS, IV
111.3, 1346, 1, RS, III
111.3, 1383, 1, RS, III
111.3, 1452, 1, RS, III
111.3, 1500, 1, FS, III
111.3, 2040, 2, FS, IV
111.4, 529, 0, FS, IV
111.4, 1479, 1, FS, III
111.5, 519, 0, FS, IV
111.5, 523, 0, FS, IV
111.5, 525, 0, FS, IV
111.5, 2043, 2, FS, IV
111.6, 531, 0, FS, IV
111.6, 1205, 1, RS, IV
111.6, 2042, 2, FS, IV
111.6, 2045, 2, FS, IV
111.6, 3035, 3, LTS, III
111.7, 527, 0, FS, IV
111.7, 1260, 1, RS, IV
111.7, 1282, 1, FS, IV
111.7, 1283, 1, FS, IV
111.7, 1469, 1, RS, III
111.7, 1475, 1, FS, III
111.7, 1476, 1, FS, III
111.7, 1485, 1, FS, III
111.7, 1508, 1, FS, III
111.7, 2046, 2, FS, IV
