85, 545, 0, LTS, IV
85.1, 2282, 2, LTS, III
85.1, 3452, 4, LTS, V
85.5, 2553, 3, LTS, VI
85.7, 2684, 3, LTS, V
85.7, 3799, 4, LTS, III
85.8, 1780, 2, LTS, VI
86.3, 748, 0, LTS, III
86.5, 1027, 1, LTS, VI
86.8, 2066, 2, LTS, IV
87.1, 269, 0, LTS, VI
87.6, 1165, 1, LTS, V
88, 1290, 1, LTS, IV
88.2, 1158, 1, LTS, V
88.3, 2539, 3, LTS, VI
88.3, 3450, 4, LTS, V
88.3, 3588, 4, LTS, IV
88.5, 1922, 2, LTS, V
88.9, 1779, 2, LTS, VI
89, 1157, 1, LTS, V
89.2, 2813, 3, LTS, IV
89.4, 538, 0, LTS, IV
89.5, 1285, 1, LTS, IV
89.6, 1025, 1, LTS, VI
89.6, 2550, 3, LTS, VI
89.7, 2051, 2, LTS, IV
90, 407, 0, LTS, V
90, 2707, 3, IB, V
90.1, 1294, 1, LTS, IV
90.4, 2691, 3, LTS, V
90.6, 1297, 1, LTS, IV
91, 3036, 3, LTS, III
91.6, 1164, 1, LTS, V
91.6, 1304, 1, LTS, IV
91.7, 1017, 1, LTS, VI
92, 1926, 2, LTS, V
92.2, 260, 0, LTS, VI
92.2, 2822, 3, LTS, IV
92.7, 3314, 4, LTS, VI
92.8, 2826, 3, LTS, IV
93.7, 2810, 3, LTS, IV
93.7, 3444, 4, LTS, V
94.6, 1300, 1, LTS, IV
94.8, 529, 0, LTS, IV
95.1, 3582, 4, LTS, IV
95.4, 2274, 2, LTS, III
96.1, 1306, 1, LTS, IV
96.3, 1785, 2, LTS, VI
96.3, 1792, 2, LTS, VI
96.3, 2056, 2, LTS, IV
96.5, 2676, 3, LTS, V
97.3, 3442, 4, LTS, V
97.6, 3033, 3, LTS, III
97.6, 3584, 4, LTS, IV
97.8, 3589, 4, LTS, IV
98, 1789, 2, LTS, VI
98.4, 753, 0, LTS, III
98.8, 3796, 4, LTS, III
99.3, 530, 0, LTS, IV
99.3, 3032, 3, LTS, III
99.6, 1778, 2, LTS, VI
99.6, 3039, 3, LTS, III
100.2, 403, 0, LTS, V
101, 3571, 4, LTS, IV
101.1, 1021, 1, LTS, VI
101.1, 1288, 1, LTS, IV
101.1, 1291, 1, LTS, IV
101.1, 1931, 2, LTS, V
101.2, 3300, 4, LTS, VI
101.4, 3303, 4, LTS, VI
101.6, 2065, 2, LTS, IV
101.8, 2817, 3, LTS, IV
101.9, 3793, 4, LTS, III
102, 3804, 4, LTS, III
102.6, 1519, 1, LTS, III
102.6, 1791, 2, LTS, VI
102.8, 2501, 3, RS, VI
103, 752, 0, LTS, III
103.2, 409, 0, LTS, V
103.5, 3451, 4, LTS, V
103.7, 2039, 2, FS, IV
104.3, 2059, 2, LTS, IV
104.6, 527, 0, LTS, IV
104.8, 533, 0, LTS, IV
104.8, 1299, 1, LTS, IV
105.1, 1268, 1, FS, IV
105.2, 1224, 1, RS, IV
105.2, 1516, 1, LTS, III
105.2, 2689, 3, LTS, V
105.3, 3038, 3, LTS, III
105.4, 1143, 1, FS, V
105.4, 2790, 3, FS, IV
105.5, 2542, 3, LTS, VI
105.5, 3305, 4, LTS, VI
105.6, 1120, 1, FS, V
105.6, 1150, 1, FS, V
105.6, 2037, 2, FS, IV
105.9, 1115, 1, FS, V
106, 1221, 1, RS, IV
106, 1229, 1, RS, IV
106, 2552, 3, LTS, VI
106.1, 1256, 1, RS, IV
106.1, 2032, 2, FS, IV
106.3, 1210, 1, RS, IV
106.4, 1023, 1, LTS, VI
106.5, 1019, 1, LTS, VI
106.6, 519, 0, FS, IV
106.7, 1260, 1, RS, IV
106.8, 1225, 1, RS, IV
106.9, 1272, 1, FS, IV
106.9, 1606, 2, RS, VI
107.2, 510, 0, FS, IV
107.2, 513, 0, FS, IV
107.3, 1246, 1, RS, IV
107.4, 1194, 1, RS, IV
107.5, 1213, 1, RS, IV
107.5, 1233, 1, RS, IV
107.6, 758, 0, LTS, III
107.7, 534, 0, LTS, IV
107.7, 1235, 1, RS, IV
107.8, 1153, 1, FS, V
107.8, 1240, 1, RS, IV
107.9, 1223, 1, RS, IV
107.9, 1234, 1, RS, IV
107.9, 2030, 2, FS, IV
107.9, 3440, 4, LTS, V
107.9, 3800, 4, LTS, III
108, 515, 0, FS, IV
108, 1259, 1, RS, IV
108, 2045, 2, FS, IV
108.3, 1211, 1, RS, IV
108.3, 1926, 2, LTS, V
108.4, 268, 0, LTS, VI
108.4, 406, 0, LTS, V
