111.1, 1407, 1, RS, III
111.1, 1413, 1, RS, III
111.1, 1433, 1, RS, III
111.1, 1469, 1, RS, III
111.2, 1278, 1, RS, IV
111.2, 1503, 1, FS, III
111.3, 530, 0, FS, IV
111.3, 1313, 1, RS, III
111.3, 1339, 1, RS, III
111.3, 1464, 1, RS, III
111.4, 1271, 1, RS, IV
111.4, 1325, 1, RS, III
111.4, 1329, 1, RS, III
111.4, 1340, 1, RS, III
111.4, 1420, 1, RS, III
111.4, 1479, 1, FS, III
111.5, 525, 0, FS, IV
111.5, 1296, 1, FS, IV
111.5, 1320, 1, RS, III
111.5, 1347, 1, RS, III
111.5, 1352, 1, RS, III
111.5, 1381, 1, RS, III
111.5, 1445, 1, RS, III
111.6, 1196, 1, RS, IV
111.6, 1251, 1, RS, IV
111.6, 1295, 1, FS, IV
111.6, 1385, 1, RS, III
111.7, 522, 0, FS, IV
111.7, 524, 0, FS, IV
111.7, 1243, 1, RS, IV
111.7, 1473, 1, RS, III
111.8, 528, 0, FS, IV
111.8, 1290, 1, FS, IV
111.8, 1322, 1, RS, III
111.8, 1483, 1, FS, III
111.9, 1453, 1, RS, III
112, 526, 0, FS, IV
112, 531, 0, FS, IV
112, 532, 0, FS, IV
112, 535, 0, FS, IV
112, 1286, 1, FS, IV
112, 1390, 1, RS, III
112, 1444, 1, RS, III
112, 1458, 1, RS, III
112, 1493, 1, FS, III
112.1, 533, 0, FS, IV
112.1, 1269, 1, RS, IV
112.1, 1284, 1, FS, IV
112.2, 523, 0, FS, IV
112.2, 1499, 1, FS, III
112.2, 1501, 1, FS, III
112.3, 527, 0, FS, IV
112.3, 529, 0, FS, IV
112.3, 1255, 1, RS, IV
112.3, 1289, 1, FS, IV
112.3, 1293, 1, FS, IV
112.3, 1480, 1, FS, III
112.3, 1489, 1, FS, III
112.4, 1287, 1, FS, IV
112.4, 1486, 1, FS, III
112.4, 1495, 1, FS, III
112.5, 1365, 1, RS, III
112.5, 1427, 1, RS, III
112.5, 1494, 1, FS, III
112.6, 1224, 1, RS, IV
112.6, 1285, 1, FS, IV
112.6, 1481, 1, FS, III
112.6, 1487, 1, FS, III
112.6, 1491, 1, FS, III
112.7, 1282, 1, RS, IV
112.7, 1488, 1, FS, III
112.8, 1055, 1, RS, V
112.8, 2806, 3, FS, IV
112.9, 1291, 1, FS, IV
112.9, 1482, 1, FS, III
113, 1191, 1, IB, V
113, 1215, 1, RS, IV
113, 1383, 1, RS, III
113, 1498, 1, FS, III
113, 2681, 3, LTS, V
113.1, 1034, 1, RS, V
113.1, 1043, 1, RS, V
113.1, 1167, 1, IB, V
113.1, 1240, 1, RS, IV
113.1, 1246, 1, RS, IV
113.1, 1478, 1, FS, III
113.1, 1497, 1, FS, III
113.1, 2249, 2, FS, III
113.2, 719, 0, FS, III
113.2, 1048, 1, RS, V
113.2, 1073, 1, RS, V
113.2, 1076, 1, RS, V
113.2, 1093, 1, RS, V
113.2, 1294, 1, FS, IV
113.2, 1485, 1, FS, III
113.2, 2814, 3, FS, IV
113.3, 717, 0, FS, III
113.3, 731, 0, FS, III
113.3, 1069, 1, RS, V
