112, 1494, 1, FS, III
112.1, 1284, 1, FS, IV
112.1, 1480, 1, FS, III
112.1, 1484, 1, FS, III
112.1, 2034, 2, RS, IV
112.1, 2051, 2, FS, IV
112.1, 2806, 3, FS, IV
112.2, 1289, 1, FS, IV
112.2, 3585, 4, LTS, IV
112.3, 1262, 1, RS, IV
112.3, 1283, 1, FS, IV
112.3, 1500, 1, FS, III
112.4, 1291, 1, FS, IV
112.4, 1483, 1, FS, III
112.4, 1487, 1, FS, III
112.4, 1488, 1, FS, III
112.4, 2054, 2, FS, IV
112.4, 2057, 2, FS, IV
112.5, 1481, 1, FS, III
112.5, 1482, 1, FS, III
112.5, 1495, 1, FS, III
112.6, 1292, 1, FS, IV
112.6, 1489, 1, FS, III
112.6, 1504, 1, FS, III
112.7, 1055, 1, RS, V
112.7, 1224, 1, RS, IV
112.7, 1486, 1, FS, III
112.7, 2813, 3, FS, IV
112.8, 549, 0, RS, III
112.8, 1043, 1, RS, V
112.8, 1191, 1, IB, V
112.8, 1502, 1, FS, III
112.8, 2810, 3, FS, IV
112.9, 722, 0, FS, III
112.9, 1066, 1, RS, V
112.9, 1087, 1, RS, V
112.9, 1093, 1, RS, V
112.9, 2805, 3, FS, IV
112.9, 2809, 3, FS, IV
112.9, 2814, 3, FS, IV
113, 639, 0, RS, III
113, 717, 0, FS, III
113, 1051, 1, RS, V
113, 1069, 1, RS, V
113, 1111, 1, RS, V
113, 1178, 1, IB, V
113, 1196, 1, RS, IV
113, 1251, 1, RS, IV
113, 1478, 1, FS, III
113, 2249, 2, FS, III
113.1, 719, 0, FS, III
113.1, 1048, 1, RS, V
113.1, 1099, 1, RS, V
113.1, 1167, 1, IB, V
113.1, 1174, 1, IB, V
113.1, 1385, 1, RS, III
113.2, 733, 0, FS, III
113.2, 1054, 1, RS, V
113.2, 1070, 1, RS, V
113.2, 1091, 1, RS, V
113.2, 1108, 1, RS, V
113.2, 1171, 1, IB, V
113.2, 1175, 1, IB, V
113.2, 1223, 1, RS, IV
113.2, 1496, 1, FS, III
113.3, 723, 0, FS, III
113.3, 728, 0, FS, III
113.3, 731, 0, FS, III
113.3, 741, 0, FS, III
113.3, 1076, 1, RS, V
113.3, 1089, 1, RS, V
113.4, 579, 0, RS, III
113.4, 735, 0, FS, III
113.4, 743, 0, FS, III
113.4, 1062, 1, RS, V
113.4, 1085, 1, RS, V
113.4, 1110, 1, RS, V
113.4, 1170, 1, IB, V
113.4, 1180, 1, IB, V
113.4, 1287, 1, FS, IV
113.4, 1497, 1, FS, III
113.4, 1498, 1, FS, III
113.4, 2246, 2, FS, III
113.4, 2260, 2, FS, III
113.5, 720, 0, FS, III
113.5, 725, 0, FS, III
113.5, 737, 0, FS, III
113.5, 738, 0, FS, III
113.5, 1033, 1, RS, V
113.5, 1034, 1, RS, V
113.5, 1037, 1, RS, V
113.5, 1039, 1, RS, V
113.5, 1047, 1, RS, V
113.5, 1049, 1, RS, V
113.5, 1058, 1, RS, V
113.5, 1073, 1, RS, V
113.5, 1084, 1, RS, V
113.5, 1096, 1, RS, V
113.5, 1104, 1, RS, V
113.5, 1107, 1, RS, V
113.5, 1113, 1, RS, V
113.5, 1169, 1, IB, V
113.5, 1172, 1, IB, V
113.5, 1300, 1, LTS, IV
113.5, 1485, 1, FS, III
113.5, 2262, 2, FS, III
113.5, 2263, 2, FS, III
113.6, 605, 0, RS, III
113.6, 667, 0, RS, III
113.6, 682, 0, RS, III
113.6, 726, 0, FS, III
113.6, 732, 0, FS, III
113.6, 1074, 1, RS, V
113.6, 1106, 1, RS, V
113.6, 1116, 1, RS, V
113.6, 1503, 1, FS, III
113.6, 2261, 2, FS, III
113.7, 640, 0, RS, III
113.7, 729, 0, FS, III
113.7, 740, 0, FS, III
113.7, 1036, 1, RS, V
113.7, 1050, 1, RS, V
113.7, 1057, 1, RS, V
113.7, 1083, 1, RS, V
113.7, 1120, 1, RS, V
113.7, 1182, 1, IB, V
113.7, 1184, 1, IB, V
113.7, 1185, 1, IB, V
113.7, 1187, 1, IB, V
113.7, 1297, 1, LTS, IV
113.7, 2253, 2, FS, III
113.7, 2257, 2, FS, III
113.8, 1061, 1, RS, V
113.8, 1072, 1, RS, V
113.8, 1077, 1, RS, V
113.8, 1080, 1, RS, V
113.8, 1112, 1, RS, V
113.8, 1176, 1, IB, V
113.8, 1181, 1, IB, V
113.8, 1301, 1, LTS, IV
113.8, 2240, 2, FS, III
113.8, 2242, 2, FS, III
113.8, 2245, 2, FS, III
113.8, 2265, 2, FS, III
113.9, 718, 0, FS, III
113.9, 727, 0, FS, III
113.9, 734, 0, FS, III
113.9, 1045, 1, RS, V
113.9, 1064, 1, RS, V
113.9, 1067, 1, RS, V
113.9, 1082, 1, RS, V
113.9, 1114, 1, RS, V
113.9, 1168, 1, IB, V
113.9, 1186, 1, IB, V
113.9, 1298, 1, LTS, IV
113.9, 1492, 1, FS, III
113.9, 2243, 2, FS, III
113.9, 2244, 2, FS, III
114, 641, 0, RS, III
114, 736, 0, FS, III
114, 1053, 1, RS, V
114, 1075, 1, RS, V
114, 1094, 1, RS, V
114, 1095, 1, RS, V
114, 1188, 1, IB, V
114, 1190, 1, IB, V
114, 1479, 1, FS, III
114, 2259, 2, FS, III
114.1, 569, 0, RS, III
114.1, 701, 0, RS, III
114.1, 1041, 1, RS, V
114.1, 1042, 1, RS, V
114.1, 1046, 1, RS, V
114.1, 1056, 1, RS, V
114.1, 1059, 1, RS, V
114.1, 1068, 1, RS, V
114.1, 1071, 1, RS, V
114.1, 1079, 1, RS, V
114.1, 1088, 1, RS, V
114.1, 1098, 1, RS, V
114.1, 1101, 1, RS, V
114.1, 1490, 1, FS, III
114.1, 2241, 2, FS, III
114.1, 2251, 2, FS, III
114.1, 2254, 2, FS, III
114.2, 693, 0, RS, III
114.2, 724, 0, FS, III
114.2, 739, 0, FS, III
114.2, 742, 0, FS, III
114.2, 1052, 1, RS, V
114.2, 1092, 1, RS, V
114.2, 1177, 1, IB, V
114.2, 1189, 1, IB, V
114.2, 1192, 1, IB, V
114.2, 1493, 1, FS, III
114.2, 1501, 1, FS, III
114.3, 634, 0, RS, III
114.3, 1035, 1, RS, V
114.3, 1040, 1, RS, V
114.3, 1065, 1, RS, V
114.3, 1078, 1, RS, V
114.3, 1086, 1, RS, V
114.3, 1097, 1, RS, V
114.3, 1103, 1, RS, V
114.3, 1105, 1, RS, V
114.3, 1119, 1, RS, V
114.3, 1173, 1, IB, V
114.3, 1179, 1, IB, V
114.3, 2247, 2, FS, III
114.3, 2250, 2, FS, III
114.4, 552, 0, RS, III
114.4, 1063, 1, RS, V
114.4, 1081, 1, RS, V
114.4, 1090, 1, RS, V
114.4, 1102, 1, RS, V
114.4, 1115, 1, RS, V
114.4, 1183, 1, IB, V
114.4, 2258, 2, FS, III
114.4, 2264, 2, FS, III
114.5, 576, 0, RS, III
114.5, 583, 0, RS, III
114.5, 721, 0, FS, III
114.5, 730, 0, FS, III
114.5, 1044, 1, RS, V
114.5, 2209, 2, RS, III
114.5, 2256, 2, FS, III
114.6, 524, 0, FS, IV
114.6, 568, 0, RS, III
114.6, 688, 0, RS, III
114.6, 1100, 1, RS, V
114.6, 1109, 1, RS, V
114.6, 1118, 1, RS, V
114.6, 1121, 1, RS, V
114.6, 1499, 1, FS, III
114.7, 597, 0, RS, III
114.7, 603, 0, RS, III
114.7, 709, 0, RS, III
114.7, 1038, 1, RS, V
114.7, 1060, 1, RS, V
114.7, 1446, 1, RS, III
114.7, 1491, 1, FS, III
114.7, 2239, 2, FS, III
114.7, 2248, 2, FS, III
114.7, 2252, 2, FS, III
114.7, 2255, 2, FS, III
114.7, 3020, 3, FS, III
114.8, 548, 0, RS, III
114.8, 627, 0, RS, III
114.8, 644, 0, RS, III
114.8, 1117, 1, RS, V
114.8, 1311, 1, RS, III
114.8, 2228, 2, RS, III
114.8, 3000, 3, FS, III
114.9, 555, 0, RS, III
114.9, 556, 0, RS, III
114.9, 713, 0, RS, III
114.9, 1494, 1, FS, III
115, 1421, 1, RS, III
115, 1471, 1, RS, III
115, 1480, 1, FS, III
115, 1484, 1, FS, III
115.1, 559, 0, RS, III
115.1, 590, 0, RS, III
115.1, 651, 0, RS, III
115.1, 678, 0, RS, III
115.1, 1367, 1, RS, III
115.1, 1418, 1, RS, III
115.1, 1505, 1, LTS, III
115.1, 2145, 2, RS, III
115.2, 1333, 1, RS, III
115.2, 1366, 1, RS, III
115.2, 1373, 1, RS, III
115.2, 1500, 1, FS, III
115.2, 2237, 2, RS, III
115.2, 3302, 4, LTS, VI
115.3, 606, 0, RS, III
115.3, 618, 0, RS, III
115.3, 1321, 1, RS, III
115.3, 1371, 1, RS, III
115.3, 1387, 1, RS, III
115.3, 1394, 1, RS, III
115.3, 1440, 1, RS, III
115.3, 1472, 1, RS, III
115.3, 1483, 1, FS, III
115.3, 1487, 1, FS, III
115.3, 1488, 1, FS, III
115.3, 3007, 3, FS, III
115.4, 573, 0, RS, III
115.4, 588, 0, RS, III
115.4, 695, 0, RS, III
115.4, 697, 0, RS, III
115.4, 707, 0, RS, III
115.4, 1314, 1, RS, III
115.4, 1323, 1, RS, III
115.4, 1336, 1, RS, III
115.4, 1357, 1, RS, III
115.4, 1428, 1, RS, III
115.4, 1460, 1, RS, III
115.4, 1481, 1, FS, III
115.4, 1482, 1, FS, III
115.4, 1495, 1, FS, III
115.4, 2169, 2, RS, III
115.5, 581, 0, RS, III
115.5, 589, 0, RS, III
115.5, 662, 0, RS, III
115.5, 1319, 1, RS, III
115.5, 1328, 1, RS, III
115.5, 1355, 1, RS, III
115.5, 1361, 1, RS, III
115.5, 1391, 1, RS, III
115.5, 1448, 1, RS, III
115.5, 1468, 1, RS, III
115.5, 1489, 1, FS, III
115.5, 1504, 1, FS, III
115.5, 2229, 2, RS, III
115.5, 3016, 3, FS, III
115.6, 617, 0, RS, III
115.6, 689, 0, RS, III
115.6, 1331, 1, RS, III
115.6, 1338, 1, RS, III
115.6, 1430, 1, RS, III
115.6, 1459, 1, RS, III
115.6, 1476, 1, RS, III
115.6, 1486, 1, FS, III
115.7, 595, 0, RS, III
115.7, 1316, 1, RS, III
115.7, 1348, 1, RS, III
115.7, 1349, 1, RS, III
115.7, 1362, 1, RS, III
115.7, 1375, 1, RS, III
115.7, 1393, 1, RS, III
115.7, 1395, 1, RS, III
115.7, 1437, 1, RS, III
115.7, 3003, 3, FS, III
115.8, 546, 0, RS, III
115.8, 574, 0, RS, III
115.8, 616, 0, RS, III
115.8, 658, 0, RS, III
115.8, 722, 0, FS, III
115.8, 1126, 1, FS, V
115.8, 1312, 1, RS, III
