109.6, 1306, 1, LTS, IV
109.6, 1357, 1, RS, III
109.6, 1360, 1, RS, III
109.6, 1379, 1, RS, III
109.6, 1394, 1, RS, III
109.6, 1423, 1, RS, III
109.6, 1426, 1, RS, III
109.6, 1437, 1, RS, III
109.6, 1438, 1, RS, III
109.6, 1472, 1, RS, III
109.6, 1473, 1, RS, III
109.6, 1494, 1, FS, III
109.7, 1298, 1, LTS, IV
109.7, 1329, 1, RS, III
109.7, 1332, 1, RS, III
109.7, 1346, 1, RS, III
109.7, 1361, 1, RS, III
109.7, 1368, 1, RS, III
109.7, 1416, 1, RS, III
109.7, 1431, 1, RS, III
109.7, 1443, 1, RS, III
109.7, 1445, 1, RS, III
109.7, 1449, 1, RS, III
109.7, 1461, 1, RS, III
109.7, 1465, 1, RS, III
109.7, 1495, 1, FS, III
109.7, 2022, 2, RS, IV
109.8, 487, 0, RS, IV
109.8, 1328, 1, RS, III
109.8, 1335, 1, RS, III
109.8, 1377, 1, RS, III
109.8, 1381, 1, RS, III
109.8, 1393, 1, RS, III
109.8, 1406, 1, RS, III
109.8, 1411, 1, RS, III
109.8, 1413, 1, RS, III
109.8, 1415, 1, RS, III
109.8, 1434, 1, RS, III
109.8, 1488, 1, FS, III
109.9, 1320, 1, RS, III
109.9, 1347, 1, RS, III
109.9, 1359, 1, RS, III
109.9, 1378, 1, RS, III
109.9, 1400, 1, RS, III
109.9, 1435, 1, RS, III
109.9, 1490, 1, FS, III
110, 1326, 1, RS, III
110, 1350, 1, RS, III
110, 1355, 1, RS, III
110, 1382, 1, RS, III
110, 1404, 1, RS, III
110, 1442, 1, RS, III
110, 1470, 1, RS, III
110, 1967, 2, RS, IV
110.1, 1327, 1, RS, III
110.1, 1338, 1, RS, III
110.1, 1345, 1, RS, III
110.1, 1356, 1, RS, III
110.1, 1405, 1, RS, III
110.1, 1410, 1, RS, III
110.1, 1463, 1, RS, III
110.1, 1466, 1, RS, III
110.2, 1128, 1, FS, V
110.2, 1308, 1, RS, III
110.2, 1343, 1, RS, III
110.2, 1407, 1, RS, III
110.2, 1422, 1, RS, III
110.2, 1451, 1, RS, III
110.2, 1497, 1, FS, III
110.3, 1132, 1, FS, V
110.3, 1318, 1, RS, III
110.3, 1324, 1, RS, III
110.3, 1331, 1, RS, III
110.3, 1354, 1, RS, III
110.3, 1374, 1, RS, III
110.3, 1440, 1, RS, III
110.3, 1450, 1, RS, III
110.3, 1991, 2, RS, IV
110.4, 1307, 1, RS, III
110.4, 1315, 1, RS, III
110.4, 1341, 1, RS, III
110.4, 1403, 1, RS, III
110.4, 1467, 1, RS, III
110.4, 1493, 1, FS, III
110.4, 1496, 1, FS, III
110.5, 1287, 1, FS, IV
110.5, 1349, 1, RS, III
110.5, 1446, 1, RS, III
110.5, 1454, 1, RS, III
110.6, 1280, 1, FS, IV
110.6, 1330, 1, RS, III
110.6, 1340, 1, RS, III
110.6, 1436, 1, RS, III
110.6, 1491, 1, FS, III
110.6, 2002, 2, RS, IV
110.7, 1337, 1, RS, III
110.7, 1392, 1, RS, III
110.7, 1402, 1, RS, III
110.7, 1474, 1, RS, III
110.7, 1498, 1, FS, III
110.7, 2802, 3, FS, IV
110.8, 1077, 1, RS, V
110.8, 1316, 1, RS, III
110.8, 1344, 1, RS, III
110.8, 1386, 1, RS, III
110.8, 1395, 1, RS, III
110.8, 1499, 1, FS, III
110.9, 520, 0, FS, IV
110.9, 1286, 1, FS, IV
110.9, 1389, 1, RS, III
110.9, 1429, 1, RS, III
110.9, 1464, 1, RS, III
110.9, 1478, 1, FS, III
110.9, 1481, 1, FS, III
111, 527, 0, FS, IV
111, 531, 0, FS, IV
111, 1228, 1, RS, IV
111, 1384, 1, RS, III
111, 1401, 1, RS, III
111, 1428, 1, RS, III
111, 1501, 1, FS, III
111.1, 530, 0, FS, IV
111.1, 1279, 1, FS, IV
111.1, 1288, 1, FS, IV
111.1, 1317, 1, RS, III
111.1, 1414, 1, RS, III
111.1, 2042, 2, FS, IV
111.2, 451, 0, RS, IV
111.2, 518, 0, FS, IV
111.2, 519, 0, FS, IV
111.2, 526, 0, FS, IV
111.2, 1334, 1, RS, III
111.2, 1351, 1, RS, III
111.2, 1453, 1, RS, III
111.2, 2050, 2, FS, IV
111.3, 1281, 1, FS, IV
111.3, 1441, 1, RS, III
111.3, 1448, 1, RS, III
111.3, 1469, 1, RS, III
111.4, 529, 0, FS, IV
111.4, 1258, 1, RS, IV
111.4, 2043, 2, FS, IV
111.4, 2049, 2, FS, IV
111.5, 523, 0, FS, IV
111.5, 1081, 1, RS, V
111.5, 1462, 1, RS, III
111.5, 2046, 2, FS, IV
111.5, 2047, 2, FS, IV
111.6, 521, 0, FS, IV
111.6, 524, 0, FS, IV
111.6, 528, 0, FS, IV
111.6, 1289, 1, FS, IV
111.6, 1290, 1, FS, IV
111.6, 2041, 2, FS, IV
111.6, 2048, 2, FS, IV
111.6, 2053, 2, FS, IV
111.7, 522, 0, FS, IV
111.7, 525, 0, FS, IV
111.7, 1266, 1, RS, IV
111.7, 1276, 1, RS, IV
111.7, 1342, 1, RS, III
111.7, 1502, 1, FS, III
111.7, 2813, 3, FS, IV
111.8, 1282, 1, FS, IV
111.8, 1353, 1, RS, III
111.8, 1364, 1, RS, III
111.8, 1376, 1, RS, III
111.8, 1398, 1, RS, III
111.8, 1500, 1, FS, III
111.8, 2044, 2, FS, IV
111.9, 1311, 1, RS, III
111.9, 2040, 2, FS, IV
111.9, 2051, 2, FS, IV
112, 540, 0, LTS, IV
112, 1230, 1, RS, IV
112, 1283, 1, FS, IV
112, 1291, 1, FS, IV
112, 1390, 1, RS, III
112, 1476, 1, FS, III
112, 2045, 2, FS, IV
112, 2052, 2, FS, IV
112.1, 1486, 1, FS, III
112.1, 1492, 1, FS, III
112.2, 1126, 1, FS, V
112.2, 1164, 1, IB, V
112.2, 1175, 1, IB, V
112.2, 1285, 1, FS, IV
112.2, 1484, 1, FS, III
112.2, 1487, 1, FS, III
112.2, 1503, 1, FS, III
112.3, 1098, 1, RS, V
112.3, 1284, 1, FS, IV
112.3, 1479, 1, FS, III
112.3, 1483, 1, FS, III
112.3, 1485, 1, FS, III
112.3, 2811, 3, FS, IV
112.4, 1170, 1, IB, V
112.4, 1273, 1, RS, IV
112.4, 1292, 1, FS, IV
112.4, 1312, 1, RS, III
112.4, 1480, 1, FS, III
112.4, 1482, 1, FS, III
