910.3, 3431, 4, LTS, V
914.2, 386, 0, LTS, V
914.4, 3383, 4, RS, V
922.1, 3458, 4, IB, V
922.2, 387, 0, LTS, V
923.9, 321, 0, RS, V
924.1, 393, 0, LTS, V
925.1, 1915, 2, LTS, V
930.9, 2609, 3, RS, V
931, 1912, 2, LTS, V
935.3, 1033, 1, RS, V
935.3, 2682, 3, LTS, V
935.9, 3434, 4, LTS, V
937.2, 3438, 4, LTS, V
939.8, 2578, 3, RS, V
940, 2592, 3, RS, V
943.8, 1813, 2, RS, V
944.8, 1908, 2, LTS, V
946.7, 1921, 2, LTS, V
946.8, 344, 0, RS, V
953.9, 1154, 1, LTS, V
959.8, 1148, 1, LTS, V
969, 394, 0, LTS, V
970.4, 1109, 1, RS, V
977.2, 2669, 3, LTS, V
978.6, 1913, 2, LTS, V
978.7, 2670, 3, LTS, V
979.5, 3415, 4, FS, V
989.6, 1179, 1, IB, V
995.7, 2677, 3, LTS, V
997.9, 429, 0, IB, V
