214.9, 1217, 1, RS, IV
214.9, 1259, 1, RS, IV
214.9, 1303, 1, LTS, IV
214.9, 1962, 2, RS, IV
214.9, 2804, 3, FS, IV
214.9, 2807, 3, FS, IV
215, 1231, 1, RS, IV
215.1, 521, 0, FS, IV
215.1, 1252, 1, RS, IV
215.1, 2809, 3, FS, IV
215.2, 518, 0, FS, IV
215.2, 1228, 1, RS, IV
215.2, 1239, 1, RS, IV
215.3, 1211, 1, RS, IV
215.3, 1288, 1, FS, IV
215.4, 1227, 1, RS, IV
215.4, 1263, 1, RS, IV
215.4, 1276, 1, RS, IV
215.4, 2039, 2, FS, IV
215.5, 1269, 1, RS, IV
215.5, 1290, 1, FS, IV
215.6, 1202, 1, RS, IV
215.6, 2044, 2, FS, IV
215.7, 1273, 1, RS, IV
215.7, 1292, 1, FS, IV
215.8, 477, 0, RS, IV
215.8, 1230, 1, RS, IV
215.8, 1266, 1, RS, IV
215.8, 1287, 1, FS, IV
215.8, 2801, 3, FS, IV
215.9, 460, 0, RS, IV
215.9, 1224, 1, RS, IV
215.9, 1965, 2, RS, IV
216, 1286, 1, FS, IV
216.3, 1302, 1, LTS, IV
216.4, 1207, 1, RS, IV
216.5, 1304, 1, LTS, IV
216.5, 2799, 3, FS, IV
216.5, 2811, 3, FS, IV
216.6, 524, 0, FS, IV
216.7, 1289, 1, FS, IV
216.7, 1295, 1, FS, IV
216.7, 1297, 1, LTS, IV
216.9, 494, 0, RS, IV
217, 1301, 1, LTS, IV
217.2, 1293, 1, FS, IV
217.2, 1970, 2, RS, IV
217.3, 528, 0, FS, IV
217.4, 1280, 1, FS, IV
217.4, 1285, 1, FS, IV
217.4, 1291, 1, FS, IV
217.5, 1284, 1, FS, IV
217.5, 2036, 2, RS, IV
217.6, 1283, 1, FS, IV
217.7, 523, 0, FS, IV
217.7, 1278, 1, FS, IV
217.7, 1299, 1, LTS, IV
217.9, 531, 0, FS, IV
217.9, 1277, 1, FS, IV
217.9, 1296, 1, LTS, IV
217.9, 1305, 1, LTS, IV
217.9, 1960, 2, RS, IV
217.9, 3571, 4, FS, IV
218, 1281, 1, FS, IV
218, 1288, 1, FS, IV
218.1, 1300, 1, LTS, IV
218.1, 2056, 2, FS, IV
218.3, 519, 0, FS, IV
218.3, 521, 0, FS, IV
218.3, 1282, 1, FS, IV
218.3, 1290, 1, FS, IV
218.3, 1294, 1, FS, IV
218.3, 2052, 2, FS, IV
218.4, 532, 0, FS, IV
218.4, 2042, 2, FS, IV
218.5, 527, 0, FS, IV
218.5, 1279, 1, FS, IV
218.6, 1287, 1, FS, IV
218.7, 1286, 1, FS, IV
218.7, 1292, 1, FS, IV
218.7, 2039, 2, FS, IV
218.7, 2047, 2, FS, IV
218.8, 530, 0, FS, IV
219, 517, 0, FS, IV
219, 1247, 1, RS, IV
219, 1298, 1, LTS, IV
219, 2005, 2, RS, IV
219.1, 518, 0, FS, IV
219.2, 1306, 1, LTS, IV
219.2, 2044, 2, FS, IV
219.2, 2055, 2, FS, IV
219.3, 525, 0, FS, IV
219.3, 1295, 1, FS, IV
219.3, 2810, 3, FS, IV
219.4, 1289, 1, FS, IV
219.4, 1997, 2, RS, IV
219.5, 456, 0, RS, IV
219.5, 2813, 3, FS, IV
219.6, 1193, 1, RS, IV
219.8, 1303, 1, LTS, IV
219.9, 442, 0, RS, IV
219.9, 1255, 1, RS, IV
219.9, 1995, 2, RS, IV
220, 1222, 1, RS, IV
220, 2041, 2, FS, IV
220, 2050, 2, FS, IV
220.1, 461, 0, RS, IV
220.1, 534, 0, FS, IV
220.1, 2040, 2, FS, IV
220.1, 3566, 4, FS, IV
220.2, 526, 0, FS, IV
220.2, 2805, 3, FS, IV
220.3, 2053, 2, FS, IV
220.6, 524, 0, FS, IV
220.6, 1302, 1, LTS, IV
220.6, 2043, 2, FS, IV
221.2, 2052, 2, FS, IV
221.4, 1978, 2, RS, IV
221.6, 514, 0, RS, IV
221.6, 1304, 1, LTS, IV
221.6, 2051, 2, FS, IV
221.7, 1288, 1, FS, IV
221.7, 1297, 1, LTS, IV
221.9, 1955, 2, RS, IV
222, 528, 0, FS, IV
222.1, 1301, 1, LTS, IV
222.2, 495, 0, RS, IV
222.3, 529, 0, FS, IV
222.5, 437, 0, RS, IV
222.5, 520, 0, FS, IV
222.5, 1200, 1, RS, IV
222.5, 1993, 2, RS, IV
222.6, 1305, 1, LTS, IV
222.7, 1299, 1, LTS, IV
222.8, 2049, 2, FS, IV
222.9, 1300, 1, LTS, IV
223, 1296, 1, LTS, IV
223.1, 1988, 2, RS, IV
223.2, 523, 0, FS, IV
223.5, 1298, 1, LTS, IV
223.6, 1979, 2, RS, IV
223.9, 473, 0, RS, IV
224.3, 2035, 2, RS, IV
224.3, 2808, 3, FS, IV
224.4, 525, 0, FS, IV
224.4, 2042, 2, FS, IV
224.9, 1302, 1, LTS, IV
225, 1980, 2, RS, IV
225.2, 2044, 2, FS, IV
225.6, 2023, 2, RS, IV
225.8, 522, 0, FS, IV
225.8, 545, 0, LTS, IV
226.7, 1297, 1, LTS, IV
226.7, 1304, 1, LTS, IV
226.8, 3564, 4, FS, IV
226.9, 2046, 2, FS, IV
227.2, 1301, 1, LTS, IV
227.3, 532, 0, FS, IV
228.1, 466, 0, RS, IV
228.1, 1296, 1, LTS, IV
228.2, 2018, 2, RS, IV
228.8, 451, 0, RS, IV
229.8, 2049, 2, FS, IV
231.7, 2058, 2, LTS, IV
231.8, 2047, 2, FS, IV
231.9, 2010, 2, RS, IV
232.1, 1305, 1, LTS, IV
232.3, 2064, 2, LTS, IV
232.6, 1302, 1, LTS, IV
232.8, 2021, 2, RS, IV
235.3, 2067, 2, LTS, IV
235.5, 2060, 2, LTS, IV
236.4, 1974, 2, RS, IV
236.7, 539, 0, LTS, IV
237.3, 540, 0, LTS, IV
237.4, 2019, 2, RS, IV
238.1, 535, 0, LTS, IV
239.1, 2066, 2, LTS, IV
239.8, 2063, 2, LTS, IV
246.1, 2059, 2, LTS, IV
248.5, 536, 0, LTS, IV
251, 2765, 3, RS, IV
254.8, 3585, 4, LTS, IV
256.7, 3581, 4, LTS, IV
261.3, 541, 0, LTS, IV
263.7, 3484, 4, RS, IV
264.2, 2818, 3, LTS, IV
266.9, 3514, 4, RS, IV
267.6, 2826, 3, LTS, IV
272.8, 2754, 3, RS, IV
273.9, 1996, 2, RS, IV
274.5, 3587, 4, LTS, IV
274.7, 2749, 3, RS, IV
275, 3532, 4, RS, IV
276.3, 2824, 3, LTS, IV
281.1, 2822, 3, LTS, IV
283.4, 2038, 2, FS, IV
283.9, 447, 0, RS, IV
286.2, 1958, 2, RS, IV
286.6, 2787, 3, RS, IV
287.6, 1983, 2, RS, IV
290.8, 2784, 3, RS, IV
292.7, 1248, 1, RS, IV
293.1, 1991, 2, RS, IV
293.1, 2761, 3, RS, IV
295.2, 3579, 4, LTS, IV
296.1, 2778, 3, RS, IV
297, 3555, 4, RS, IV
297.5, 2809, 3, FS, IV
297.6, 2805, 3, FS, IV
298.2, 2777, 3, RS, IV
299.3, 2737, 3, RS, IV
301.4, 455, 0, RS, IV
301.4, 1277, 1, FS, IV
302, 2804, 3, FS, IV
302.5, 3574, 4, FS, IV
303, 543, 0, LTS, IV
304.3, 2012, 2, RS, IV
305.9, 2723, 3, RS, IV
306, 3572, 4, FS, IV
307.2, 2046, 2, FS, IV
307.4, 2065, 2, LTS, IV
308.3, 2746, 3, RS, IV
308.7, 2816, 3, FS, IV
309, 1267, 1, RS, IV
310.1, 2735, 3, RS, IV
311.7, 2821, 3, LTS, IV
312.1, 2061, 2, LTS, IV
312.4, 3506, 4, RS, IV
316.1, 2764, 3, RS, IV
316.3, 2755, 3, RS, IV
318.4, 2793, 3, RS, IV
319.9, 3488, 4, RS, IV
320, 2825, 3, LTS, IV
322.4, 1972, 2, RS, IV
322.8, 3495, 4, RS, IV
323.1, 3583, 4, LTS, IV
323.4, 3534, 4, RS, IV
323.7, 3577, 4, FS, IV
324.9, 2729, 3, RS, IV
325.1, 2809, 3, FS, IV
325.8, 2798, 3, RS, IV
325.9, 3487, 4, RS, IV
326, 2808, 3, FS, IV
326.3, 457, 0, RS, IV
327.1, 2780, 3, RS, IV
327.4, 2814, 3, FS, IV
327.8, 1985, 2, RS, IV
327.9, 2799, 3, FS, IV
328.7, 3569, 4, FS, IV
329, 478, 0, RS, IV
329.2, 2810, 3, FS, IV
329.3, 2817, 3, FS, IV
330.3, 3570, 4, FS, IV
330.5, 3564, 4, FS, IV
331.1, 493, 0, RS, IV
331.1, 3550, 4, RS, IV
331.4, 3560, 4, FS, IV
331.9, 2800, 3, FS, IV
332.7, 2820, 3, LTS, IV
333.2, 3584, 4, LTS, IV
334.3, 2046, 2, FS, IV
334.6, 2813, 3, FS, IV
335.2, 2038, 2, FS, IV
335.9, 2766, 3, RS, IV
336.3, 2776, 3, RS, IV
336.4, 2725, 3, RS, IV
336.6, 3524, 4, RS, IV
336.7, 2797, 3, RS, IV
336.8, 490, 0, RS, IV
337.4, 467, 0, RS, IV
338.6, 1964, 2, RS, IV
339.7, 3542, 4, RS, IV
339.9, 3585, 4, LTS, IV
341.4, 3538, 4, RS, IV
341.7, 536, 0, LTS, IV
341.9, 2802, 3, FS, IV
343.5, 2041, 2, FS, IV
343.7, 2719, 3, RS, IV
343.8, 1282, 1, FS, IV
344.2, 2056, 2, FS, IV
344.4, 2003, 2, RS, IV
344.7, 3565, 4, FS, IV
345.6, 527, 0, FS, IV
346.4, 525, 0, FS, IV
346.6, 538, 0, LTS, IV
348.7, 1997, 2, RS, IV
349, 2810, 3, FS, IV
349.2, 3587, 4, LTS, IV
350.8, 486, 0, RS, IV
351.7, 542, 0, LTS, IV
352.9, 1216, 1, RS, IV
354.5, 1270, 1, RS, IV
355.5, 2055, 2, FS, IV
357.3, 2065, 2, LTS, IV
358.4, 2716, 3, RS, IV
358.5, 1200, 1, RS, IV
358.9, 3567, 4, FS, IV
359, 1957, 2, RS, IV
359, 2054, 2, FS, IV
359.9, 2034, 2, RS, IV
360.3, 2057, 2, LTS, IV
360.4, 2059, 2, LTS, IV
360.7, 539, 0, LTS, IV
363.5, 2058, 2, LTS, IV
364.1, 2733, 3, RS, IV
364.5, 1213, 1, RS, IV
365, 1271, 1, RS, IV
367, 1304, 1, LTS, IV
367.9, 1281, 1, FS, IV
367.9, 2720, 3, RS, IV
368.3, 2804, 3, FS, IV
368.7, 1299, 1, LTS, IV
369.3, 3491, 4, RS, IV
369.4, 2007, 2, RS, IV
