268.6, 357, 0, FS, V
268.6, 1885, 2, FS, V
268.6, 1922, 2, IB, V
268.6, 2696, 3, IB, V
268.6, 2712, 3, IB, V
268.7, 400, 0, IB, V
268.7, 1085, 1, RS, V
268.7, 3350, 4, RS, V
268.7, 3427, 4, FS, V
268.7, 3458, 4, IB, V
268.8, 1165, 1, IB, V
268.8, 3444, 4, IB, V
268.9, 1122, 1, FS, V
269, 362, 0, FS, V
269, 396, 0, LTS, V
269, 1128, 1, FS, V
269, 1141, 1, FS, V
269, 1166, 1, IB, V
269, 1813, 2, RS, V
269, 3349, 4, RS, V
269, 3470, 4, IB, V
269, 3472, 4, IB, V
269.1, 384, 0, FS, V
269.1, 1170, 1, IB, V
269.1, 1827, 2, RS, V
269.1, 2667, 3, FS, V
269.1, 3471, 4, IB, V
269.2, 312, 0, RS, V
269.2, 1139, 1, FS, V
269.2, 1185, 1, IB, V
269.2, 1890, 2, FS, V
269.2, 1893, 2, FS, V
269.2, 3324, 4, RS, V
269.2, 3359, 4, RS, V
269.3, 361, 0, FS, V
269.3, 1060, 1, RS, V
269.3, 1116, 1, FS, V
269.3, 2574, 3, RS, V
269.3, 2609, 3, RS, V
269.3, 3416, 4, FS, V
269.4, 349, 0, RS, V
269.4, 422, 0, IB, V
269.4, 1120, 1, FS, V
269.4, 1877, 2, FS, V
269.4, 1891, 2, FS, V
269.4, 1901, 2, FS, V
269.4, 3358, 4, RS, V
269.4, 3406, 4, FS, V
269.5, 1117, 1, FS, V
269.5, 1129, 1, FS, V
269.5, 2640, 3, FS, V
269.5, 2666, 3, FS, V
269.5, 3392, 4, RS, V
269.5, 3435, 4, LTS, V
269.6, 1132, 1, FS, V
269.6, 1871, 2, RS, V
269.6, 1938, 2, IB, V
269.6, 2563, 3, RS, V
269.6, 3356, 4, RS, V
269.6, 3420, 4, FS, V
269.7, 1143, 1, FS, V
269.7, 1870, 2, RS, V
269.7, 2714, 3, IB, V
269.7, 3426, 4, FS, V
269.8, 418, 0, IB, V
269.8, 1118, 1, FS, V
269.8, 1154, 1, LTS, V
269.8, 1933, 2, IB, V
269.8, 2706, 3, IB, V
269.8, 2710, 3, IB, V
269.8, 3413, 4, FS, V
269.9, 1110, 1, RS, V
269.9, 1926, 2, IB, V
269.9, 3463, 4, IB, V
270, 1144, 1, FS, V
270, 1888, 2, FS, V
270, 2649, 3, FS, V
270, 2652, 3, FS, V
270, 3399, 4, FS, V
270.1, 380, 0, FS, V
270.1, 1095, 1, RS, V
270.1, 3353, 4, RS, V
270.2, 341, 0, RS, V
270.2, 370, 0, FS, V
270.2, 383, 0, FS, V
270.2, 2683, 3, IB, V
270.3, 311, 0, RS, V
270.3, 326, 0, RS, V
270.3, 366, 0, FS, V
270.3, 411, 0, IB, V
270.3, 1167, 1, IB, V
270.3, 1924, 2, IB, V
270.3, 2658, 3, FS, V
270.3, 2691, 3, IB, V
270.3, 3333, 4, RS, V
270.3, 3365, 4, RS, V
270.4, 378, 0, FS, V
270.4, 1881, 2, FS, V
270.4, 2638, 3, FS, V
270.5, 355, 0, FS, V
270.5, 1879, 2, FS, V
270.5, 3325, 4, RS, V
270.6, 286, 0, RS, V
270.6, 1068, 1, RS, V
270.6, 1078, 1, RS, V
270.6, 1119, 1, FS, V
270.6, 1180, 1, IB, V
270.6, 1187, 1, IB, V
270.6, 1896, 2, FS, V
270.6, 1902, 2, FS, V
270.6, 2555, 3, RS, V
270.6, 2695, 3, IB, V
270.6, 3352, 4, RS, V
270.7, 367, 0, FS, V
270.7, 1907, 2, FS, V
270.7, 2653, 3, FS, V
270.8, 281, 0, RS, V
270.8, 381, 0, FS, V
270.8, 1069, 1, RS, V
270.8, 1103, 1, RS, V
270.8, 2615, 3, RS, V
270.8, 2627, 3, RS, V
270.8, 3316, 4, RS, V
270.8, 3382, 4, RS, V
270.8, 3396, 4, RS, V
270.9, 415, 0, IB, V
270.9, 1900, 2, FS, V
270.9, 1942, 2, IB, V
270.9, 3344, 4, RS, V
270.9, 3465, 4, IB, V
271, 1062, 1, RS, V
271, 1136, 1, FS, V
271, 1927, 2, IB, V
271, 2629, 3, RS, V
271, 2656, 3, FS, V
271.1, 342, 0, RS, V
271.1, 412, 0, IB, V
271.1, 1176, 1, IB, V
271.1, 1177, 1, IB, V
271.1, 1181, 1, IB, V
271.1, 1951, 2, IB, V
271.1, 3401, 4, FS, V
271.2, 1135, 1, FS, V
271.2, 1880, 2, FS, V
271.2, 2665, 3, FS, V
271.2, 3331, 4, RS, V
271.2, 3461, 4, IB, V
271.2, 3462, 4, IB, V
271.2, 3467, 4, IB, V
271.3, 282, 0, RS, V
271.3, 318, 0, RS, V
271.3, 405, 0, IB, V
271.3, 406, 0, IB, V
271.3, 1186, 1, IB, V
271.3, 1897, 2, FS, V
271.3, 1904, 2, FS, V
271.3, 1905, 2, FS, V
271.3, 1944, 2, IB, V
271.3, 2639, 3, FS, V
271.3, 2690, 3, IB, V
271.4, 420, 0, IB, V
271.4, 1858, 2, RS, V
271.4, 1906, 2, FS, V
271.5, 301, 0, RS, V
271.5, 1112, 1, RS, V
271.5, 1142, 1, FS, V
271.5, 1190, 1, IB, V
271.5, 1899, 2, FS, V
271.5, 2668, 3, FS, V
271.5, 3450, 4, IB, V
271.5, 3454, 4, IB, V
271.6, 1889, 2, FS, V
271.6, 1923, 2, IB, V
271.6, 1925, 2, IB, V
271.6, 1936, 2, IB, V
271.6, 2711, 3, IB, V
271.6, 3400, 4, FS, V
271.6, 3428, 4, FS, V
271.6, 3466, 4, IB, V
271.7, 1878, 2, FS, V
271.7, 1895, 2, FS, V
271.7, 1929, 2, IB, V
271.7, 3383, 4, RS, V
271.8, 1133, 1, FS, V
271.8, 1830, 2, RS, V
271.8, 1953, 2, IB, V
271.9, 364, 0, FS, V
271.9, 1126, 1, FS, V
