6.3, 1755, 2, RS, VI
6.3, 1756, 2, RS, VI
6.3, 1757, 2, RS, VI
6.3, 1796, 2, RS, V
6.3, 1798, 2, RS, V
6.3, 1820, 2, RS, V
6.3, 1822, 2, RS, V
6.3, 1832, 2, RS, V
6.3, 1841, 2, RS, V
6.3, 1846, 2, RS, V
6.3, 1851, 2, RS, V
6.3, 1863, 2, RS, V
6.3, 1866, 2, RS, V
6.3, 2099, 2, RS, III
6.3, 2201, 2, RS, III
6.3, 2283, 3, RS, VI
6.3, 2284, 3, RS, VI
6.3, 2285, 3, RS, VI
6.3, 2286, 3, RS, VI
6.3, 2290, 3, RS, VI
6.3, 2291, 3, RS, VI
6.3, 2292, 3, RS, VI
6.3, 2293, 3, RS, VI
6.3, 2294, 3, RS, VI
6.3, 2295, 3, RS, VI
6.3, 2296, 3, RS, VI
6.3, 2297, 3, RS, VI
6.3, 2298, 3, RS, VI
6.3, 2299, 3, RS, VI
6.3, 2300, 3, RS, VI
6.3, 2302, 3, RS, VI
6.3, 2303, 3, RS, VI
6.3, 2304, 3, RS, VI
6.3, 2305, 3, RS, VI
6.3, 2306, 3, RS, VI
6.3, 2307, 3, RS, VI
6.3, 2308, 3, RS, VI
6.3, 2310, 3, RS, VI
6.3, 2311, 3, RS, VI
6.3, 2313, 3, RS, VI
6.3, 2315, 3, RS, VI
6.3, 2316, 3, RS, VI
6.3, 2317, 3, RS, VI
6.3, 2318, 3, RS, VI
6.3, 2319, 3, RS, VI
6.3, 2321, 3, RS, VI
6.3, 2322, 3, RS, VI
6.3, 2323, 3, RS, VI
6.3, 2324, 3, RS, VI
6.3, 2325, 3, RS, VI
6.3, 2326, 3, RS, VI
6.3, 2328, 3, RS, VI
6.3, 2329, 3, RS, VI
6.3, 2330, 3, RS, VI
6.3, 2331, 3, RS, VI
6.3, 2332, 3, RS, VI
6.3, 2333, 3, RS, VI
6.3, 2334, 3, RS, VI
6.3, 2335, 3, RS, VI
6.3, 2336, 3, RS, VI
6.3, 2338, 3, RS, VI
6.3, 2339, 3, RS, VI
6.3, 2342, 3, RS, VI
6.3, 2343, 3, RS, VI
6.3, 2344, 3, RS, VI
6.3, 2347, 3, RS, VI
6.3, 2348, 3, RS, VI
6.3, 2354, 3, RS, VI
6.3, 2355, 3, RS, VI
6.3, 2356, 3, RS, VI
6.3, 2358, 3, RS, VI
6.3, 2359, 3, RS, VI
6.3, 2360, 3, RS, VI
6.3, 2362, 3, RS, VI
6.3, 2364, 3, RS, VI
6.3, 2365, 3, RS, VI
6.3, 2367, 3, RS, VI
6.3, 2368, 3, RS, VI
6.3, 2369, 3, RS, VI
6.3, 2370, 3, RS, VI
6.3, 2371, 3, RS, VI
6.3, 2372, 3, RS, VI
6.3, 2373, 3, RS, VI
6.3, 2374, 3, RS, VI
6.3, 2375, 3, RS, VI
6.3, 2376, 3, RS, VI
6.3, 2378, 3, RS, VI
6.3, 2379, 3, RS, VI
6.3, 2383, 3, RS, VI
6.3, 2384, 3, RS, VI
6.3, 2385, 3, RS, VI
6.3, 2388, 3, RS, VI
6.3, 2389, 3, RS, VI
6.3, 2391, 3, RS, VI
6.3, 2395, 3, RS, VI
6.3, 2398, 3, RS, VI
6.3, 2402, 3, RS, VI
6.3, 2403, 3, RS, VI
6.3, 2404, 3, RS, VI
6.3, 2406, 3, RS, VI
6.3, 2408, 3, RS, VI
6.3, 2409, 3, RS, VI
6.3, 2410, 3, RS, VI
6.3, 2411, 3, RS, VI
6.3, 2412, 3, RS, VI
6.3, 2413, 3, RS, VI
6.3, 2415, 3, RS, VI
6.3, 2416, 3, RS, VI
6.3, 2419, 3, RS, VI
6.3, 2420, 3, RS, VI
6.3, 2421, 3, RS, VI
6.3, 2422, 3, RS, VI
6.3, 2423, 3, RS, VI
6.3, 2425, 3, RS, VI
6.3, 2427, 3, RS, VI
6.3, 2428, 3, RS, VI
6.3, 2429, 3, RS, VI
6.3, 2430, 3, RS, VI
6.3, 2431, 3, RS, VI
6.3, 2433, 3, RS, VI
6.3, 2434, 3, RS, VI
6.3, 2435, 3, RS, VI
6.3, 2436, 3, RS, VI
6.3, 2437, 3, RS, VI
6.3, 2438, 3, RS, VI
6.3, 2439, 3, RS, VI
6.3, 2440, 3, RS, VI
6.3, 2442, 3, RS, VI
6.3, 2443, 3, RS, VI
6.3, 2444, 3, RS, VI
6.3, 2446, 3, RS, VI
6.3, 2448, 3, RS, VI
6.3, 2449, 3, RS, VI
6.3, 2450, 3, RS, VI
6.3, 2452, 3, RS, VI
