125.4, 654, 0, RS, III
125.4, 674, 0, RS, III
125.4, 721, 0, FS, III
125.4, 731, 0, FS, III
125.4, 736, 0, FS, III
125.4, 748, 0, LTS, III
125.5, 738, 0, FS, III
125.6, 596, 0, RS, III
125.6, 741, 0, FS, III
125.6, 749, 0, LTS, III
125.6, 757, 0, LTS, III
125.6, 1130, 1, FS, V
125.7, 408, 0, IB, V
125.7, 411, 0, IB, V
125.7, 422, 0, IB, V
125.7, 677, 0, RS, III
125.7, 725, 0, FS, III
125.7, 1137, 1, FS, V
125.8, 414, 0, IB, V
125.9, 718, 0, FS, III
125.9, 1121, 1, FS, V
125.9, 1125, 1, FS, V
125.9, 1142, 1, FS, V
125.9, 1144, 1, FS, V
126, 387, 0, LTS, V
126, 407, 0, IB, V
126, 409, 0, IB, V
126, 427, 0, IB, V
126, 534, 0, LTS, IV
126, 544, 0, LTS, IV
126, 617, 0, RS, III
126, 630, 0, RS, III
126, 1129, 1, FS, V
126, 1136, 1, FS, V
126.1, 424, 0, IB, V
126.1, 502, 0, RS, IV
126.1, 585, 0, RS, III
126.1, 658, 0, RS, III
126.1, 664, 0, RS, III
126.1, 735, 0, FS, III
126.1, 1120, 1, FS, V
126.1, 1123, 1, FS, V
126.1, 1132, 1, FS, V
126.2, 402, 0, IB, V
126.2, 417, 0, IB, V
126.2, 429, 0, IB, V
126.2, 533, 0, LTS, IV
126.2, 583, 0, RS, III
126.2, 591, 0, RS, III
126.2, 621, 0, RS, III
126.2, 681, 0, RS, III
126.2, 750, 0, LTS, III
126.2, 759, 0, LTS, III
126.2, 1126, 1, FS, V
126.2, 1139, 1, FS, V
126.2, 1143, 1, FS, V
126.2, 1146, 1, FS, V
126.3, 415, 0, IB, V
126.3, 419, 0, IB, V
126.3, 420, 0, IB, V
126.3, 521, 0, FS, IV
126.3, 538, 0, LTS, IV
126.3, 540, 0, LTS, IV
126.3, 568, 0, RS, III
126.3, 755, 0, LTS, III
126.3, 1116, 1, FS, V
126.3, 1131, 1, FS, V
126.3, 1135, 1, FS, V
126.3, 1141, 1, FS, V
126.4, 264, 0, LTS, VI
126.4, 397, 0, LTS, V
126.4, 404, 0, IB, V
126.4, 421, 0, IB, V
126.4, 595, 0, RS, III
126.4, 744, 0, LTS, III
126.4, 747, 0, LTS, III
126.4, 1122, 1, FS, V
126.4, 1127, 1, FS, V
126.4, 1133, 1, FS, V
126.5, 526, 0, FS, IV
126.5, 537, 0, LTS, IV
126.5, 541, 0, LTS, IV
126.5, 574, 0, RS, III
126.5, 637, 0, RS, III
126.5, 717, 0, FS, III
126.5, 743, 0, LTS, III
126.5, 746, 0, LTS, III
126.5, 751, 0, LTS, III
126.5, 1117, 1, FS, V
126.5, 1128, 1, FS, V
126.5, 1134, 1, FS, V
126.5, 1145, 1, FS, V
126.6, 389, 0, LTS, V
126.6, 530, 0, FS, IV
126.6, 535, 0, LTS, IV
126.6, 590, 0, RS, III
126.6, 662, 0, RS, III
126.6, 742, 0, FS, III
126.6, 1119, 1, FS, V
126.7, 406, 0, IB, V
126.7, 428, 0, IB, V
126.7, 545, 0, LTS, IV
126.7, 573, 0, RS, III
126.7, 582, 0, RS, III
126.7, 647, 0, RS, III
126.7, 1124, 1, FS, V
126.8, 391, 0, LTS, V
126.8, 405, 0, IB, V
126.8, 575, 0, RS, III
126.8, 581, 0, RS, III
