114.8, 2046, 2, FS, IV
114.9, 1258, 1, RS, IV
114.9, 1292, 1, FS, IV
114.9, 1303, 1, LTS, IV
114.9, 2048, 2, FS, IV
115.1, 531, 0, FS, IV
115.2, 1293, 1, FS, IV
115.2, 2047, 2, FS, IV
115.3, 532, 0, FS, IV
115.3, 1291, 1, FS, IV
115.4, 1286, 1, FS, IV
115.4, 1305, 1, LTS, IV
115.5, 1289, 1, FS, IV
115.5, 1299, 1, LTS, IV
115.6, 1294, 1, FS, IV
115.6, 1304, 1, LTS, IV
115.6, 2808, 3, FS, IV
115.7, 1284, 1, FS, IV
115.9, 535, 0, FS, IV
116.5, 2044, 2, FS, IV
116.5, 2053, 2, FS, IV
116.6, 1269, 1, RS, IV
116.9, 524, 0, FS, IV
116.9, 1283, 1, FS, IV
116.9, 1296, 1, FS, IV
117, 1244, 1, RS, IV
117.1, 1059, 1, RS, V
117.1, 1274, 1, RS, IV
117.1, 1290, 1, FS, IV
117.3, 527, 0, FS, IV
117.3, 1227, 1, RS, IV
117.3, 1240, 1, RS, IV
117.3, 1287, 1, FS, IV
117.3, 2055, 2, FS, IV
117.5, 1295, 1, FS, IV
117.5, 3589, 4, LTS, IV
117.6, 1230, 1, RS, IV
117.6, 1232, 1, RS, IV
117.6, 3585, 4, LTS, IV
117.7, 1218, 1, RS, IV
117.7, 1255, 1, RS, IV
117.7, 1272, 1, RS, IV
117.7, 1285, 1, FS, IV
117.7, 1288, 1, FS, IV
117.7, 1302, 1, LTS, IV
117.8, 1211, 1, RS, IV
117.8, 1233, 1, RS, IV
117.8, 1234, 1, RS, IV
117.8, 2045, 2, FS, IV
118, 1090, 1, RS, V
118, 1251, 1, RS, IV
118.1, 1216, 1, RS, IV
118.1, 1243, 1, RS, IV
118.1, 1277, 1, RS, IV
118.1, 1293, 1, FS, IV
118.2, 1196, 1, RS, IV
118.2, 1215, 1, RS, IV
118.2, 1222, 1, RS, IV
118.2, 1223, 1, RS, IV
118.2, 1291, 1, FS, IV
118.3, 1091, 1, RS, V
118.3, 1195, 1, RS, IV
118.3, 1262, 1, RS, IV
118.3, 1286, 1, FS, IV
118.3, 1298, 1, LTS, IV
118.4, 1249, 1, RS, IV
118.4, 1289, 1, FS, IV
118.5, 1039, 1, RS, V
118.6, 1297, 1, LTS, IV
