218, 503, 0, RS, IV
218, 1291, 1, FS, IV
218.1, 516, 0, FS, IV
218.3, 1283, 1, FS, IV
218.4, 1982, 2, RS, IV
218.5, 1287, 1, FS, IV
218.5, 2040, 2, FS, IV
218.6, 522, 0, FS, IV
218.6, 2042, 2, FS, IV
218.7, 1289, 1, FS, IV
218.7, 1294, 1, FS, IV
218.9, 1274, 1, FS, IV
219.1, 521, 0, FS, IV
219.1, 1227, 1, RS, IV
219.2, 513, 0, FS, IV
219.2, 523, 0, FS, IV
219.2, 1276, 1, FS, IV
219.2, 2052, 2, FS, IV
219.3, 1285, 1, FS, IV
219.6, 1306, 1, LTS, IV
219.9, 2038, 2, FS, IV
220, 2005, 2, RS, IV
220.1, 529, 0, FS, IV
220.1, 2055, 2, FS, IV
220.3, 531, 0, FS, IV
220.4, 2031, 2, FS, IV
220.7, 1296, 1, LTS, IV
220.8, 534, 0, FS, IV
221, 2053, 2, FS, IV
221.1, 2037, 2, FS, IV
221.2, 526, 0, FS, IV
221.2, 1303, 1, LTS, IV
221.4, 1286, 1, FS, IV
221.4, 1297, 1, LTS, IV
221.6, 2048, 2, FS, IV
221.8, 1300, 1, LTS, IV
222, 1305, 1, LTS, IV
222, 2033, 2, FS, IV
222.1, 1284, 1, FS, IV
222.1, 1301, 1, LTS, IV
222.2, 1299, 1, LTS, IV
222.3, 1302, 1, LTS, IV
222.3, 1304, 1, LTS, IV
222.6, 443, 0, RS, IV
222.8, 1298, 1, LTS, IV
223, 442, 0, RS, IV
223.7, 2808, 3, FS, IV
224, 3588, 4, LTS, IV
224.7, 1306, 1, LTS, IV
225.1, 1296, 1, LTS, IV
225.6, 1955, 2, RS, IV
225.7, 1303, 1, LTS, IV
226.2, 448, 0, RS, IV
226.2, 1297, 1, LTS, IV
226.5, 434, 0, RS, IV
226.5, 467, 0, RS, IV
226.7, 1299, 1, LTS, IV
226.7, 1300, 1, LTS, IV
227.1, 1302, 1, LTS, IV
227.3, 1304, 1, LTS, IV
227.5, 1981, 2, RS, IV
227.9, 1298, 1, LTS, IV
228, 1305, 1, LTS, IV
228.2, 2016, 2, RS, IV
230.3, 1296, 1, LTS, IV
231.2, 1297, 1, LTS, IV
232.2, 1303, 1, LTS, IV
235.5, 1300, 1, LTS, IV
238.3, 540, 0, LTS, IV
238.6, 539, 0, LTS, IV
240.1, 2066, 2, LTS, IV
242.9, 544, 0, LTS, IV
245.1, 535, 0, LTS, IV
245.9, 2059, 2, LTS, IV
246.8, 2821, 3, LTS, IV
251.8, 2058, 2, LTS, IV
252.8, 2828, 3, LTS, IV
258.7, 2057, 2, LTS, IV
258.8, 2067, 2, LTS, IV
261.9, 2060, 2, LTS, IV
263, 3484, 4, RS, IV
263.4, 3514, 4, RS, IV
263.8, 2818, 3, LTS, IV
266.4, 1987, 2, RS, IV
267.3, 2826, 3, LTS, IV
270.1, 538, 0, LTS, IV
271.2, 1212, 1, RS, IV
272, 2061, 2, LTS, IV
272.7, 3518, 4, RS, IV
272.7, 3532, 4, RS, IV
273.8, 3584, 4, LTS, IV
274.4, 1996, 2, RS, IV
277.5, 2741, 3, RS, IV
279.9, 2732, 3, RS, IV
280.5, 2038, 2, FS, IV
280.8, 3582, 4, LTS, IV
281, 3587, 4, LTS, IV
281.9, 3508, 4, RS, IV
282.4, 447, 0, RS, IV
283.7, 2807, 3, FS, IV
283.8, 1216, 1, RS, IV
283.8, 3579, 4, LTS, IV
286.7, 2799, 3, FS, IV
288.5, 2827, 3, LTS, IV
289.7, 3541, 4, RS, IV
292.6, 1984, 2, RS, IV
294.7, 2813, 3, FS, IV
296.3, 501, 0, RS, IV
296.7, 2778, 3, RS, IV
296.9, 480, 0, RS, IV
297.9, 1228, 1, RS, IV
301.3, 455, 0, RS, IV
301.4, 2715, 3, RS, IV
301.9, 472, 0, RS, IV
302, 1262, 1, RS, IV
302.7, 509, 0, FS, IV
303.5, 2065, 2, LTS, IV
304.3, 529, 0, FS, IV
304.5, 1245, 1, RS, IV
305.4, 2792, 3, FS, IV
