110.6, 2035, 2, FS, IV
110.7, 1324, 1, RS, III
110.7, 1350, 1, RS, III
110.7, 1456, 1, RS, III
110.7, 2278, 2, LTS, III
110.8, 1274, 1, FS, IV
110.8, 1418, 1, RS, III
110.8, 1489, 1, FS, III
110.9, 1266, 1, FS, IV
110.9, 1279, 1, FS, IV
110.9, 1296, 1, LTS, IV
110.9, 1322, 1, RS, III
110.9, 1337, 1, RS, III
110.9, 1362, 1, RS, III
110.9, 3444, 4, LTS, V
111, 1365, 1, RS, III
111.1, 1281, 1, FS, IV
111.1, 1288, 1, FS, IV
111.1, 1364, 1, RS, III
111.1, 1491, 1, FS, III
111.2, 1308, 1, RS, III
111.2, 1382, 1, RS, III
111.2, 1435, 1, RS, III
111.2, 1494, 1, FS, III
111.2, 1505, 1, FS, III
111.2, 1511, 1, FS, III
111.3, 1327, 1, RS, III
111.5, 1293, 1, LTS, IV
111.5, 1334, 1, RS, III
111.6, 1495, 1, FS, III
111.6, 1496, 1, FS, III
111.6, 2030, 2, FS, IV
111.7, 1498, 1, FS, III
111.8, 1484, 1, FS, III
111.8, 1485, 1, FS, III
111.9, 1269, 1, FS, IV
111.9, 1490, 1, FS, III
112, 1305, 1, LTS, IV
112, 2672, 3, LTS, V
112.1, 1501, 1, FS, III
112.1, 1509, 1, FS, III
112.1, 1510, 1, FS, III
112.2, 526, 0, FS, IV
112.2, 1326, 1, RS, III
112.2, 1393, 1, RS, III
112.3, 1480, 1, FS, III
112.3, 1500, 1, FS, III
112.3, 1504, 1, FS, III
112.4, 1391, 1, RS, III
112.4, 1492, 1, FS, III
112.5, 1291, 1, LTS, IV
112.5, 1487, 1, FS, III
112.5, 1493, 1, FS, III
112.5, 1497, 1, FS, III
112.6, 1408, 1, RS, III
112.6, 1479, 1, FS, III
112.6, 1481, 1, FS, III
112.6, 1486, 1, FS, III
112.6, 1507, 1, FS, III
112.7, 1089, 1, RS, V
112.7, 2159, 2, RS, III
112.8, 732, 0, FS, III
112.8, 750, 0, FS, III
112.8, 1084, 1, RS, V
112.8, 1425, 1, RS, III
112.8, 1483, 1, FS, III
112.8, 1488, 1, FS, III
112.8, 1508, 1, FS, III
112.8, 2254, 2, FS, III
112.9, 1051, 1, RS, V
112.9, 1079, 1, RS, V
112.9, 1098, 1, RS, V
112.9, 1186, 1, IB, V
112.9, 1475, 1, RS, III
112.9, 1503, 1, FS, III
112.9, 2245, 2, FS, III
113, 718, 0, FS, III
113, 733, 0, FS, III
113, 734, 0, FS, III
113, 1099, 1, RS, V
113, 1170, 1, IB, V
113, 1178, 1, IB, V
113, 1506, 1, FS, III
113, 2255, 2, FS, III
113, 2262, 2, FS, III
113.1, 1037, 1, RS, V
113.1, 1056, 1, RS, V
113.1, 1088, 1, RS, V
113.1, 1092, 1, RS, V
113.1, 1182, 1, IB, V
113.2, 720, 0, FS, III
113.2, 722, 0, FS, III
113.2, 739, 0, FS, III
113.2, 740, 0, FS, III
113.2, 1045, 1, RS, V
113.2, 1049, 1, RS, V
113.2, 1073, 1, RS, V
113.2, 1109, 1, RS, V
113.2, 1167, 1, IB, V
113.2, 1177, 1, IB, V
113.2, 1180, 1, IB, V
113.2, 1482, 1, FS, III
113.2, 1499, 1, FS, III
113.2, 2263, 2, FS, III
113.2, 2264, 2, FS, III
113.3, 723, 0, FS, III
113.3, 743, 0, FS, III
113.3, 746, 0, FS, III
113.3, 1034, 1, RS, V
113.3, 1070, 1, RS, V
113.3, 1071, 1, RS, V
113.3, 1179, 1, IB, V
113.3, 2260, 2, FS, III
113.3, 2269, 2, FS, III
113.3, 2270, 2, FS, III
113.4, 719, 0, FS, III
113.4, 744, 0, FS, III
113.4, 1038, 1, RS, V
113.4, 1068, 1, RS, V
113.4, 1069, 1, RS, V
113.4, 1075, 1, RS, V
113.4, 1095, 1, RS, V
113.4, 1105, 1, RS, V
113.4, 1107, 1, RS, V
113.4, 1181, 1, IB, V
113.4, 1183, 1, IB, V
113.4, 2252, 2, FS, III
113.5, 731, 0, FS, III
113.5, 1036, 1, RS, V
113.5, 1039, 1, RS, V
113.5, 1055, 1, RS, V
113.5, 1081, 1, RS, V
113.5, 1168, 1, IB, V
113.5, 1173, 1, IB, V
113.5, 1175, 1, IB, V
113.5, 1189, 1, IB, V
113.6, 1053, 1, RS, V
113.6, 1057, 1, RS, V
113.6, 1074, 1, RS, V
113.6, 2246, 2, FS, III
113.6, 2251, 2, FS, III
113.7, 728, 0, FS, III
113.7, 738, 0, FS, III
113.7, 747, 0, FS, III
113.7, 749, 0, FS, III
113.7, 1040, 1, RS, V
113.7, 1046, 1, RS, V
113.7, 1050, 1, RS, V
113.7, 1054, 1, RS, V
113.7, 1066, 1, RS, V
113.7, 1080, 1, RS, V
113.7, 1090, 1, RS, V
113.7, 1172, 1, IB, V
113.7, 1187, 1, IB, V
113.7, 1489, 1, FS, III
113.7, 1502, 1, FS, III
113.7, 2240, 2, FS, III
113.7, 2242, 2, FS, III
113.7, 2248, 2, FS, III
113.7, 2265, 2, FS, III
113.8, 724, 0, FS, III
113.8, 725, 0, FS, III
113.8, 727, 0, FS, III
113.8, 729, 0, FS, III
113.8, 745, 0, FS, III
113.8, 1052, 1, RS, V
113.8, 1072, 1, RS, V
113.8, 1174, 1, IB, V
113.8, 1190, 1, IB, V
113.8, 2241, 2, FS, III
113.8, 2257, 2, FS, III
113.8, 2258, 2, FS, III
113.8, 2268, 2, FS, III
113.9, 726, 0, FS, III
113.9, 1047, 1, RS, V
113.9, 1078, 1, RS, V
113.9, 1097, 1, RS, V
113.9, 1166, 1, IB, V
113.9, 1171, 1, IB, V
113.9, 1191, 1, IB, V
113.9, 2247, 2, FS, III
113.9, 2266, 2, FS, III
113.9, 2272, 2, FS, III
114, 721, 0, FS, III
114, 735, 0, FS, III
114, 737, 0, FS, III
114, 742, 0, FS, III
114, 1035, 1, RS, V
114, 1060, 1, RS, V
114, 1061, 1, RS, V
114, 1083, 1, RS, V
114, 1086, 1, RS, V
114, 1102, 1, RS, V
114, 1292, 1, LTS, IV
114, 1491, 1, FS, III
114, 2250, 2, FS, III
114, 2259, 2, FS, III
114, 2267, 2, FS, III
114.1, 736, 0, FS, III
114.1, 741, 0, FS, III
114.1, 1042, 1, RS, V
114.1, 1065, 1, RS, V
114.1, 1085, 1, RS, V
114.1, 1093, 1, RS, V
114.1, 1100, 1, RS, V
114.1, 1101, 1, RS, V
114.1, 1103, 1, RS, V
114.1, 1185, 1, IB, V
114.1, 1494, 1, FS, III
114.1, 1505, 1, FS, III
114.1, 2249, 2, FS, III
114.1, 2261, 2, FS, III
114.2, 730, 0, FS, III
114.2, 1044, 1, RS, V
114.2, 1059, 1, RS, V
114.2, 1067, 1, RS, V
114.2, 1076, 1, RS, V
114.2, 1091, 1, RS, V
114.2, 1104, 1, RS, V
114.2, 2271, 2, FS, III
114.3, 1043, 1, RS, V
114.3, 1082, 1, RS, V
114.3, 1096, 1, RS, V
114.3, 1108, 1, RS, V
114.3, 1371, 1, RS, III
114.3, 2244, 2, FS, III
114.3, 2256, 2, FS, III
114.4, 1062, 1, RS, V
114.4, 1087, 1, RS, V
114.4, 1176, 1, IB, V
114.4, 1192, 1, IB, V
114.4, 1511, 1, FS, III
114.5, 1058, 1, RS, V
114.5, 1063, 1, RS, V
114.5, 1077, 1, RS, V
114.5, 1495, 1, FS, III
114.5, 1496, 1, FS, III
114.5, 2243, 2, FS, III
114.6, 1094, 1, RS, V
114.6, 1169, 1, IB, V
114.6, 1452, 1, RS, III
114.6, 1463, 1, RS, III
114.6, 1476, 1, RS, III
114.6, 1498, 1, FS, III
114.7, 1033, 1, RS, V
114.7, 1048, 1, RS, V
114.7, 1184, 1, IB, V
114.7, 1188, 1, IB, V
114.7, 1359, 1, RS, III
114.7, 1484, 1, FS, III
114.7, 1485, 1, FS, III
114.8, 1396, 1, RS, III
114.8, 1438, 1, RS, III
114.8, 1490, 1, FS, III
114.9, 748, 0, FS, III
114.9, 1315, 1, RS, III
114.9, 1330, 1, RS, III
114.9, 1352, 1, RS, III
114.9, 1430, 1, RS, III
114.9, 1459, 1, RS, III
114.9, 1469, 1, RS, III
114.9, 3001, 3, FS, III
115, 1106, 1, RS, V
115, 1387, 1, RS, III
115, 1409, 1, RS, III
115, 1501, 1, FS, III
115, 1510, 1, FS, III
115, 2253, 2, FS, III
115, 3002, 3, FS, III
115, 3026, 3, FS, III
115.1, 1041, 1, RS, V
115.1, 1366, 1, RS, III
115.1, 1453, 1, RS, III
115.1, 1472, 1, RS, III
115.1, 3016, 3, FS, III
115.2, 1064, 1, RS, V
115.2, 1314, 1, RS, III
115.2, 1349, 1, RS, III
115.2, 1368, 1, RS, III
115.2, 1407, 1, RS, III
115.2, 1412, 1, RS, III
115.2, 1426, 1, RS, III
115.2, 1457, 1, RS, III
115.2, 1509, 1, FS, III
115.3, 1309, 1, RS, III
115.3, 1328, 1, RS, III
115.3, 1348, 1, RS, III
115.3, 1358, 1, RS, III
115.3, 1363, 1, RS, III
115.3, 1383, 1, RS, III
115.3, 1400, 1, RS, III
115.3, 1420, 1, RS, III
115.3, 1421, 1, RS, III
115.3, 1423, 1, RS, III
115.3, 1492, 1, FS, III
115.3, 3018, 3, FS, III
115.3, 3456, 4, IB, V
115.4, 692, 0, RS, III
115.4, 1360, 1, RS, III
115.4, 1361, 1, RS, III
115.4, 1377, 1, RS, III
115.4, 1434, 1, RS, III
115.4, 1455, 1, RS, III
115.4, 1466, 1, RS, III
115.4, 1477, 1, RS, III
115.4, 1487, 1, FS, III
115.4, 1493, 1, FS, III
115.4, 1497, 1, FS, III
115.5, 1320, 1, RS, III
115.5, 1367, 1, RS, III
115.5, 1397, 1, RS, III
115.5, 1454, 1, RS, III
115.5, 1462, 1, RS, III
115.5, 1465, 1, RS, III
115.5, 3033, 3, FS, III
115.6, 1342, 1, RS, III
115.6, 1345, 1, RS, III
115.6, 1355, 1, RS, III
115.6, 1356, 1, RS, III
115.6, 1372, 1, RS, III
115.6, 1414, 1, RS, III
115.6, 1416, 1, RS, III
115.6, 1422, 1, RS, III
115.6, 1424, 1, RS, III
115.6, 1443, 1, RS, III
115.6, 1446, 1, RS, III
115.6, 1471, 1, RS, III
115.7, 732, 0, FS, III
115.7, 750, 0, FS, III
115.7, 1336, 1, RS, III
115.7, 1343, 1, RS, III
115.7, 1353, 1, RS, III
115.7, 1370, 1, RS, III
115.7, 1388, 1, RS, III
115.7, 1394, 1, RS, III
115.7, 1406, 1, RS, III
115.7, 1415, 1, RS, III
115.7, 1439, 1, RS, III
115.7, 1444, 1, RS, III
115.7, 1448, 1, RS, III
115.7, 1481, 1, FS, III
115.7, 3031, 3, FS, III
115.8, 1318, 1, RS, III
115.8, 1333, 1, RS, III
115.8, 1369, 1, RS, III
115.8, 1411, 1, RS, III
115.8, 1427, 1, RS, III
115.8, 1428, 1, RS, III
115.8, 2245, 2, FS, III
115.8, 2254, 2, FS, III
115.8, 3024, 3, FS, III
115.9, 718, 0, FS, III
115.9, 733, 0, FS, III
115.9, 1317, 1, RS, III
115.9, 1381, 1, RS, III
115.9, 1392, 1, RS, III
115.9, 1441, 1, RS, III
115.9, 1447, 1, RS, III
115.9, 1468, 1, RS, III
115.9, 1470, 1, RS, III
115.9, 1473, 1, RS, III
115.9, 1474, 1, RS, III
115.9, 2255, 2, FS, III
115.9, 2262, 2, FS, III
115.9, 3009, 3, FS, III
116, 1311, 1, RS, III
116, 1332, 1, RS, III
116, 1354, 1, RS, III
116, 1375, 1, RS, III
116, 1419, 1, RS, III
116, 1433, 1, RS, III
116, 1478, 1, RS, III
116, 1500, 1, FS, III
116, 3020, 3, FS, III
116.1, 722, 0, FS, III
116.1, 740, 0, FS, III
116.1, 1313, 1, RS, III
116.1, 1319, 1, RS, III
116.1, 1351, 1, RS, III
116.1, 1376, 1, RS, III
116.1, 1458, 1, RS, III
116.1, 1460, 1, RS, III
116.1, 1464, 1, RS, III
116.1, 2264, 2, FS, III
