142.4, 302, 0, RS, V
142.4, 1026, 1, LTS, VI
142.4, 1168, 1, IB, V
142.4, 2595, 3, RS, V
142.4, 2986, 3, RS, III
142.5, 630, 0, RS, III
142.5, 1904, 2, FS, V
142.5, 2598, 3, RS, V
142.6, 1907, 2, FS, V
142.6, 2577, 3, RS, V
142.6, 2664, 3, FS, V
142.6, 2977, 3, RS, III
142.7, 290, 0, RS, V
142.7, 2167, 2, RS, III
142.7, 2613, 3, RS, V
142.7, 2620, 3, RS, V
142.9, 1176, 1, IB, V
142.9, 2855, 3, RS, III
143, 344, 0, RS, V
143, 1896, 2, FS, V
143, 3001, 3, FS, III
143.1, 1877, 2, FS, V
143.1, 1882, 2, FS, V
143.1, 1883, 2, FS, V
143.1, 2713, 3, IB, V
143.2, 1935, 2, IB, V
143.2, 2632, 3, FS, V
143.2, 2638, 3, FS, V
143.2, 3014, 3, FS, III
143.3, 415, 0, IB, V
143.3, 2642, 3, FS, V
143.3, 2653, 3, FS, V
143.4, 405, 0, IB, V
143.4, 1874, 2, FS, V
143.4, 1903, 2, FS, V
143.4, 2580, 3, RS, V
143.4, 2597, 3, RS, V
143.5, 2110, 2, RS, III
143.6, 1895, 2, FS, V
143.6, 2611, 3, RS, V
143.6, 2623, 3, RS, V
143.6, 2661, 3, FS, V
143.7, 347, 0, RS, V
143.7, 2643, 3, FS, V
143.7, 2645, 3, FS, V
143.7, 3414, 4, FS, V
143.8, 313, 0, RS, V
143.8, 356, 0, FS, V
143.8, 2603, 3, RS, V
143.8, 2651, 3, FS, V
143.9, 1114, 1, FS, V
143.9, 1876, 2, FS, V
143.9, 1897, 2, FS, V
143.9, 1899, 2, FS, V
143.9, 2141, 2, RS, III
143.9, 2658, 3, FS, V
144, 343, 0, RS, V
144, 1126, 1, FS, V
144, 1130, 1, FS, V
144, 1894, 2, FS, V
144, 1900, 2, FS, V
144, 2654, 3, FS, V
144.1, 292, 0, RS, V
144.1, 1944, 2, IB, V
144.1, 2193, 2, RS, III
144.1, 2644, 3, FS, V
144.2, 417, 0, IB, V
144.2, 1873, 2, FS, V
144.2, 1880, 2, FS, V
144.2, 2639, 3, FS, V
144.2, 2647, 3, FS, V
144.2, 2657, 3, FS, V
144.2, 2851, 3, RS, III
144.3, 1139, 1, FS, V
144.3, 1142, 1, FS, V
144.3, 1189, 1, IB, V
144.3, 1887, 2, FS, V
144.3, 1901, 2, FS, V
144.3, 1950, 2, IB, V
144.3, 2668, 3, FS, V
144.3, 3405, 4, FS, V
144.4, 354, 0, FS, V
144.4, 2182, 2, RS, III
144.4, 2641, 3, FS, V
144.5, 348, 0, RS, V
144.5, 406, 0, IB, V
144.5, 430, 0, IB, V
144.5, 1131, 1, FS, V
144.5, 1889, 2, FS, V
144.5, 2095, 2, RS, III
144.6, 2576, 3, RS, V
144.6, 2607, 3, RS, V
144.6, 2627, 3, RS, V
144.6, 2650, 3, FS, V
144.7, 349, 0, FS, V
144.7, 362, 0, FS, V
144.7, 419, 0, IB, V
144.7, 1878, 2, FS, V
144.7, 2636, 3, FS, V
144.7, 2659, 3, FS, V
144.7, 2689, 3, IB, V
144.8, 369, 0, FS, V
144.8, 1884, 2, FS, V
144.8, 1893, 2, FS, V
144.8, 2635, 3, FS, V
144.8, 2637, 3, FS, V
144.9, 315, 0, RS, V
144.9, 1145, 1, FS, V
144.9, 2656, 3, FS, V
144.9, 3422, 4, FS, V
145, 379, 0, FS, V
145, 425, 0, IB, V
145, 1111, 1, FS, V
145, 1121, 1, FS, V
145, 1479, 1, FS, III
145, 1885, 2, FS, V
145, 2555, 3, RS, V
145, 2660, 3, FS, V
145, 2662, 3, FS, V
145, 2665, 3, FS, V
145, 3013, 3, FS, III
145.1, 1123, 1, FS, V
145.1, 1832, 2, RS, V
145.1, 1875, 2, FS, V
145.1, 1879, 2, FS, V
145.1, 1898, 2, FS, V
145.1, 1928, 2, IB, V
145.1, 2817, 3, LTS, IV
145.2, 320, 0, RS, V
145.2, 360, 0, FS, V
145.2, 376, 0, FS, V
145.2, 2691, 3, IB, V
145.3, 368, 0, FS, V
145.3, 1871, 2, FS, V
145.3, 1905, 2, FS, V
145.3, 2602, 3, RS, V
145.3, 2649, 3, FS, V
145.3, 2655, 3, FS, V
145.3, 2698, 3, IB, V
145.4, 421, 0, IB, V
145.4, 1132, 1, FS, V
145.4, 1144, 1, FS, V
145.4, 1904, 2, FS, V
145.4, 2663, 3, FS, V
145.4, 2814, 3, LTS, IV
145.5, 1125, 1, FS, V
145.5, 1137, 1, FS, V
145.5, 1907, 2, FS, V
145.5, 2633, 3, FS, V
145.5, 2640, 3, FS, V
145.5, 2646, 3, FS, V
145.5, 2712, 3, IB, V
145.5, 2860, 3, RS, III
145.5, 3022, 3, FS, III
145.6, 426, 0, IB, V
145.6, 1138, 1, FS, V
145.6, 2625, 3, RS, V
145.6, 2666, 3, FS, V
145.6, 2819, 3, LTS, IV
145.6, 3020, 3, FS, III
145.6, 3030, 3, FS, III
145.6, 3397, 4, FS, V
145.7, 295, 0, RS, V
145.7, 351, 0, FS, V
145.8, 276, 0, RS, V
145.8, 357, 0, FS, V
145.8, 1112, 1, FS, V
145.8, 1128, 1, FS, V
145.8, 1892, 2, FS, V
145.8, 2652, 3, FS, V
145.8, 2664, 3, FS, V
145.9, 296, 0, RS, V
145.9, 365, 0, FS, V
