109.9, 1287, 1, FS, IV
109.9, 1334, 1, RS, III
109.9, 1390, 1, RS, III
109.9, 1395, 1, RS, III
109.9, 1404, 1, RS, III
109.9, 1411, 1, RS, III
109.9, 1432, 1, RS, III
109.9, 1489, 1, FS, III
109.9, 1503, 1, FS, III
109.9, 2815, 3, FS, IV
110, 1369, 1, RS, III
110.1, 2043, 2, FS, IV
110.2, 532, 0, FS, IV
110.2, 1280, 1, FS, IV
110.2, 1313, 1, RS, III
110.2, 1402, 1, RS, III
110.3, 517, 0, FS, IV
110.3, 518, 0, FS, IV
110.3, 1272, 1, RS, IV
110.3, 1293, 1, FS, IV
110.3, 1471, 1, FS, III
110.3, 2801, 3, FS, IV
110.4, 529, 0, FS, IV
110.4, 1282, 1, FS, IV
110.4, 1298, 1, LTS, IV
110.5, 524, 0, FS, IV
110.5, 526, 0, FS, IV
110.5, 527, 0, FS, IV
110.5, 1279, 1, FS, IV
110.5, 1288, 1, FS, IV
110.5, 1291, 1, FS, IV
110.5, 1470, 1, FS, III
110.5, 2047, 2, FS, IV
110.6, 520, 0, FS, IV
110.6, 522, 0, FS, IV
110.6, 1308, 1, RS, III
110.6, 1383, 1, RS, III
110.6, 1389, 1, RS, III
110.6, 2039, 2, FS, IV
110.6, 2048, 2, FS, IV
110.6, 2052, 2, FS, IV
110.6, 2054, 2, FS, IV
110.7, 531, 0, FS, IV
110.7, 1236, 1, RS, IV
110.7, 1351, 1, RS, III
110.7, 2042, 2, FS, IV
110.8, 519, 0, FS, IV
110.8, 528, 0, FS, IV
110.8, 1286, 1, FS, IV
110.8, 1344, 1, RS, III
110.8, 1442, 1, RS, III
110.8, 2051, 2, FS, IV
110.8, 2053, 2, FS, IV
110.9, 521, 0, FS, IV
110.9, 523, 0, FS, IV
110.9, 525, 0, FS, IV
110.9, 1290, 1, FS, IV
110.9, 1484, 1, FS, III
110.9, 2040, 2, FS, IV
111, 530, 0, FS, IV
111, 1206, 1, RS, IV
111, 1281, 1, FS, IV
111, 1485, 1, FS, III
111, 2046, 2, FS, IV
111, 2800, 3, FS, IV
111, 2812, 3, FS, IV
111.1, 1285, 1, FS, IV
111.1, 1467, 1, FS, III
111.1, 1482, 1, FS, III
111.1, 1487, 1, FS, III
111.1, 2045, 2, FS, IV
111.1, 2049, 2, FS, IV
111.1, 2050, 2, FS, IV
111.1, 2807, 3, FS, IV
111.1, 2813, 3, FS, IV
111.2, 460, 0, RS, IV
111.2, 1289, 1, FS, IV
111.2, 1494, 1, FS, III
111.2, 1500, 1, FS, III
111.2, 2041, 2, FS, IV
111.2, 2809, 3, FS, IV
111.3, 1472, 1, FS, III
111.3, 1480, 1, FS, III
111.3, 1499, 1, FS, III
111.3, 2044, 2, FS, IV
111.3, 2804, 3, FS, IV
111.4, 1382, 1, RS, III
111.4, 2810, 3, FS, IV
111.6, 540, 0, LTS, IV
111.6, 1224, 1, RS, IV
111.6, 1273, 1, RS, IV
111.6, 1283, 1, FS, IV
111.7, 2805, 3, FS, IV
111.8, 1251, 1, RS, IV
111.8, 1329, 1, RS, III
111.9, 722, 0, FS, III
111.9, 1433, 1, RS, III
112, 682, 0, RS, III
112, 713, 0, FS, III
112, 1476, 1, FS, III
112, 2233, 2, FS, III
112, 2234, 2, FS, III
