115.9, 2266, 2, FS, III
115.9, 2269, 2, FS, III
116, 1042, 1, RS, V
116, 1065, 1, RS, V
116, 1096, 1, RS, V
116, 1136, 1, FS, V
116, 1424, 1, RS, III
116, 2245, 2, FS, III
116, 2249, 2, FS, III
116.1, 730, 0, FS, III
116.1, 1043, 1, RS, V
116.1, 1431, 1, RS, III
116.1, 2246, 2, FS, III
116.2, 725, 0, FS, III
116.2, 743, 0, FS, III
116.2, 1118, 1, RS, V
116.2, 1126, 1, FS, V
116.2, 2260, 2, FS, III
116.2, 2267, 2, FS, III
116.3, 724, 0, FS, III
116.3, 1127, 1, FS, V
116.3, 1145, 1, FS, V
116.3, 1312, 1, RS, III
116.3, 1379, 1, RS, III
116.4, 736, 0, FS, III
116.4, 739, 0, FS, III
116.4, 748, 0, FS, III
116.4, 1105, 1, RS, V
116.4, 1144, 1, FS, V
116.4, 1432, 1, RS, III
116.5, 1472, 1, RS, III
116.5, 1478, 1, RS, III
116.6, 1121, 1, FS, V
116.6, 1129, 1, FS, V
116.6, 1330, 1, RS, III
116.6, 1447, 1, RS, III
116.6, 1473, 1, RS, III
116.6, 2257, 2, FS, III
116.7, 728, 0, FS, III
116.7, 1123, 1, FS, V
116.7, 1135, 1, FS, V
116.7, 1316, 1, RS, III
116.7, 1438, 1, RS, III
116.7, 1439, 1, RS, III
116.8, 1122, 1, FS, V
116.8, 1124, 1, FS, V
116.8, 1128, 1, FS, V
116.8, 1132, 1, FS, V
116.8, 1138, 1, FS, V
116.8, 1309, 1, RS, III
116.8, 1358, 1, RS, III
116.8, 1426, 1, RS, III
116.8, 1436, 1, RS, III
116.9, 1125, 1, FS, V
116.9, 1320, 1, RS, III
116.9, 1363, 1, RS, III
116.9, 1367, 1, RS, III
116.9, 1427, 1, RS, III
116.9, 1453, 1, RS, III
116.9, 1456, 1, RS, III
117, 1130, 1, FS, V
117, 1137, 1, FS, V
117, 1139, 1, FS, V
117, 1142, 1, FS, V
117, 1326, 1, RS, III
117, 1406, 1, RS, III
117, 1419, 1, RS, III
117, 1423, 1, RS, III
117, 1442, 1, RS, III
117, 1451, 1, RS, III
117, 1502, 1, FS, III
117.1, 1134, 1, FS, V
117.1, 1140, 1, FS, V
117.1, 1167, 1, IB, V
117.1, 1391, 1, RS, III
117.1, 1416, 1, RS, III
117.1, 1428, 1, RS, III
117.1, 1450, 1, RS, III
117.1, 1458, 1, RS, III
117.2, 1141, 1, FS, V
117.2, 1342, 1, RS, III
117.2, 1343, 1, RS, III
117.2, 1377, 1, RS, III
117.2, 1411, 1, RS, III
117.2, 1437, 1, RS, III
117.2, 2145, 2, RS, III
117.3, 1165, 1, IB, V
117.3, 1348, 1, RS, III
117.3, 1383, 1, RS, III
117.3, 1449, 1, RS, III
117.3, 1461, 1, RS, III
117.3, 3007, 3, FS, III
117.4, 385, 0, LTS, V
117.4, 1131, 1, FS, V
117.4, 1143, 1, FS, V
117.4, 1164, 1, IB, V
117.4, 1170, 1, IB, V
117.4, 1189, 1, IB, V
117.4, 1319, 1, RS, III
117.4, 1328, 1, RS, III
117.4, 1350, 1, RS, III
117.4, 1373, 1, RS, III
117.4, 1469, 1, RS, III
117.4, 1508, 1, FS, III
117.5, 383, 0, FS, V
117.5, 1133, 1, FS, V
117.5, 1177, 1, IB, V
117.5, 1349, 1, RS, III
117.5, 1378, 1, RS, III
117.5, 1389, 1, RS, III
117.5, 1440, 1, RS, III
117.5, 1492, 1, FS, III
117.6, 362, 0, FS, V
117.6, 1336, 1, RS, III
117.6, 1398, 1, RS, III
117.6, 1435, 1, RS, III
117.6, 1474, 1, RS, III
117.6, 1477, 1, RS, III
117.7, 360, 0, FS, V
